PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
Zm00001eb142490,Zm00001eb218220,Zm00001eb023740,Zm00001eb237190,Zm00001eb302700,Zm00001eb042070,SORBI_3002G279900,
Zm00001eb271320,Zm00001eb001830,Zm00001eb350800,Zm00001eb414790,Zm00001eb000390,Zm00001eb395290,SORBI_3003G374100,
Zm00001eb349390,Zm00001eb193090,Zm00001eb369010,Zm00001eb423960,Zm00001eb003170,SORBI_3003G053200,SORBI_3010G015500,
Zm00001eb251530,Zm00001eb410050,Zm00001eb211050,Zm00001eb117130,Zm00001eb053220,SORBI_3003G373000,SORBI_3001G133900,
Zm00001eb430130,Zm00001eb355810,Zm00001eb147630,Zm00001eb052610,Zm00001eb055470,SORBI_3003G062800,SORBI_3002G074000,
Zm00001eb377440,Zm00001eb402260,SORBI_3007G091100,Zm00001eb218110,Zm00001eb380020,SORBI_3003G062900,SORBI_3003G375800,
Zm00001eb066580,Zm00001eb353580,SORBI_3003G308100,Zm00001eb430930,Zm00001eb193100,SORBI_3001G334200,SORBI_3003G432000,
Zm00001eb077010,Zm00001eb248610,SORBI_3007G090600,Zm00001eb080050,Zm00001eb041050,SORBI_3005G022100,SORBI_3003G335700,
Zm00001eb433490,Zm00001eb082150,SORBI_3002G366200,Zm00001eb366300,Zm00001eb336730,SORBI_3006G213500,SORBI_3002G338700,
Zm00001eb314350,Zm00001eb331410,SORBI_3003G342100,Zm00001eb048420,Zm00001eb414790,SORBI_3007G087400,SORBI_3006G171400,
Zm00001eb124810,Zm00001eb392700,SORBI_3003G342200,Zm00001eb061410,Zm00001eb423960,SORBI_3007G044300,SORBI_3010G011200,
Zm00001eb350250,Zm00001eb247540,SORBI_3001G003600,Zm00001eb070560,Zm00001eb059560,SORBI_3002G274000,SORBI_3002G338500,
Zm00001eb425430,Zm00001eb015950,SORBI_3003G341900,Zm00001eb242750,Zm00001eb299790,SORBI_3003G052100,SORBI_3001G263600,
Zm00001eb353560,Zm00001eb255520,SORBI_3001G333400,Zm00001eb332460,Zm00001eb296060,SORBI_3003G135500,SORBI_3003G143900,
Zm00001eb096820,Zm00001eb255970,SORBI_3008G073700,Zm00001eb056870,Zm00001eb154000,SORBI_3009G128500,SORBI_3004G255700,
Zm00001eb362000,Zm00001eb058370,SORBI_3007G104600,Zm00001eb070460,Zm00001eb293310,SORBI_3010G082600,SORBI_3010G234400,
Zm00001eb037360,Zm00001eb214230,SORBI_3001G133900,Zm00001eb207430,Zm00001eb125520,SORBI_3001G438100,SORBI_3004G185100,
Zm00001eb061310,Zm00001eb220790,SORBI_3001G223200,Zm00001eb389550,Zm00001eb330020,SORBI_3002G098900,SORBI_3002G074200,
Zm00001eb212690,Zm00001eb050910,SORBI_3004G276200,Zm00001eb244120,Zm00001eb152050,SORBI_3007G200500,SORBI_3006G232000,
Zm00001eb403440,Zm00001eb403360,SORBI_3003G225200,Zm00001eb389440,Zm00001eb119430,SORBI_3001G422100,SORBI_3003G374000,
Zm00001eb186860,Zm00001eb060140,SORBI_3004G038000,Zm00001eb271090,Zm00001eb041730,SORBI_3003G277500,SORBI_3002G329300,
Zm00001eb341910,Zm00001eb190570,SORBI_3010G219100,Zm00001eb336880,Zm00001eb062130,SORBI_3006G114700,SORBI_3002G199000,
Zm00001eb426060,Zm00001eb213280,SORBI_3007G087400,Zm00001eb124830,Zm00001eb146750,SORBI_3009G071800,SORBI_3004G255500,
Zm00001eb369540,Zm00001eb208880,SORBI_3003G341500,Zm00001eb330910,Zm00001eb075490,SORBI_3003G122100,SORBI_3002G175500,
SORBI_3005G087800,Zm00001eb146750,SORBI_3001G047400,Zm00001eb360750,Zm00001eb362000,SORBI_3004G238500,SORBI_3001G136300,
SORBI_3006G209400,Zm00001eb107190,SORBI_3001G076400,Zm00001eb001780,Zm00001eb209160,SORBI_3001G250300,SORBI_3002G278500,
SORBI_3009G198700,Zm00001eb212430,SORBI_3006G206700,Zm00001eb058000,Zm00001eb381470,SORBI_3009G178400,SORBI_3004G010000,
SORBI_3009G170100,Zm00001eb032760,SORBI_3002G388700,Zm00001eb070450,Zm00001eb062530,SORBI_3009G188000,SORBI_3002G279000,
SORBI_3001G031900,Zm00001eb062530,SORBI_3003G164500,Zm00001eb061860,Zm00001eb101080,SORBI_3001G332900,SORBI_3009G044800,
SORBI_3003G128800,Zm00001eb217750,SORBI_3002G388400,Zm00001eb093410,Zm00001eb315410,SORBI_3001G125700,SORBI_3006G195800,
SORBI_3001G003600,Zm00001eb249220,SORBI_3003G427400,Zm00001eb159530,SORBI_3006G217300,SORBI_3001G125800,SORBI_3004G279300,
SORBI_3003G302800,SORBI_3010G180700,SORBI_3003G344200,Zm00001eb344900,SORBI_3006G217900,SORBI_3004G323100,SORBI_3004G011700,
SORBI_3010G186300,SORBI_3002G388100,SORBI_3002G355400,Zm00001eb394250,SORBI_3003G420500,SORBI_3003G122300,SORBI_3010G239900,
SORBI_3007G036800,SORBI_3006G191700,SORBI_3007G092400,Zm00001eb433870,SORBI_3009G003700,SORBI_3006G192200,SORBI_3004G255100,
SORBI_3009G202900,SORBI_3004G270500,SORBI_3001G296900,Zm00001eb186860,SORBI_3005G005800,SORBI_3006G191900,SORBI_3001G066900,
SORBI_3001G079600,SORBI_3003G341900,SORBI_3006G272900,Zm00001eb062530,SORBI_3001G358200,SORBI_3006G106700,SORBI_3001G080600,
SORBI_3001G080200,SORBI_3008G057900,SORBI_3001G402200,Zm00001eb285010,SORBI_3004G247300,SORBI_3002G283800,SORBI_3002G338400,
SORBI_3003G320800,SORBI_3001G115300,SORBI_3008G071300,Zm00001eb403120,SORBI_3006G161200,SORBI_3001G161300,SORBI_3010G250800,
SORBI_3010G161600,SORBI_3002G386700,SORBI_3010G062500,Zm00001eb191170,SORBI_3003G331000,SORBI_3003G139300,SORBI_3009G063400,
SORBI_3010G161700,SORBI_3001G133900,SORBI_3004G247000,SORBI_3009G003800,SORBI_3006G218600,SORBI_3003G281400,SORBI_3003G431700,
SORBI_3010G161800,SORBI_3010G127800,SORBI_3003G309400,SORBI_3003G341500,SORBI_3002G229100,SORBI_3007G042600,SORBI_3002G174000,
SORBI_3001G085300,SORBI_3006G151500,SORBI_3006G272800,SORBI_3001G314000,SORBI_3006G058000,SORBI_3002G045700,SORBI_3002G321300,
SORBI_3001G265700,SORBI_3001G189200,SORBI_3004G248700,SORBI_3003G320800,SORBI_3001G240100,SORBI_3002G095400,SORBI_3009G250200,
SORBI_3006G217900,SORBI_3001G379400,SORBI_3001G023800,SORBI_3001G219400,SORBI_3003G379600,SORBI_3005G073200,SORBI_3006G215100,
SORBI_3007G038000,SORBI_3001G074000,SORBI_3003G161700,SORBI_3009G170100,SORBI_3001G328100,SORBI_3010G004300,SORBI_3003G376000,
SORBI_3002G025700,SORBI_3003G052100,SORBI_3001G085200,SORBI_3005G047300,SORBI_3010G161600,SORBI_3007G044400,SORBI_3002G180000,
SORBI_3001G079500,SORBI_3007G144600,SORBI_3002G366000,SORBI_3003G420500,SORBI_3010G161700,SORBI_3007G045600,SORBI_3004G279700,
SORBI_3001G063300,SORBI_3004G032800,SORBI_3001G376600,SORBI_3009G003700,SORBI_3010G161800,SORBI_3006G163100,SORBI_3009G134600,
SORBI_3001G361300,SORBI_3010G266100,SORBI_3001G003300,SORBI_3003G128800,SORBI_3006G217100,SORBI_3004G339200,SORBI_3001G079500,
SORBI_3008G053300,SORBI_3005G126800,SORBI_3001G027900,SORBI_3004G174200,SORBI_3001G399300,SORBI_3004G238100,SORBI_3003G416500,
SORBI_3001G438100,SORBI_3006G206800,SORBI_3003G360200,SORBI_3003G198900,SORBI_3002G274600,SORBI_3009G075900,SORBI_3003G368100,
SORBI_3006G201500,SORBI_3002G012300,LOC_Os12g01510,SORBI_3005G007900,SORBI_3006G218700,SORBI_3001G290500,SORBI_3004G279100,
SORBI_3003G301400,SORBI_3002G012400,LOC_Os03g08220,SORBI_3001G187000,SORBI_3007G071100,SORBI_3002G274600,SORBI_3001G196000,
SORBI_3001G074400,SORBI_3003G022200,LOC_Os03g01320,SORBI_3003G341900,SORBI_3003G374400,SORBI_3001G050100,SORBI_3001G361300,
SORBI_3001G085400,SORBI_3006G151800,LOC_Os09g04260,SORBI_3003G054200,SORBI_3002G214200,SORBI_3003G287500,SORBI_3002G137000,
SORBI_3003G420500,SORBI_3003G341500,LOC_Os06g06970,SORBI_3004G224700,SORBI_3001G045000,SORBI_3003G287600,SORBI_3006G114800,
SORBI_3003G308100,SORBI_3001G114400,LOC_Os01g06090,SORBI_3004G250900,SORBI_3001G063300,SORBI_3003G287700,SORBI_3003G366400,
SORBI_3009G014400,SORBI_3002G387300,LOC_Os05g05870,SORBI_3002G204300,SORBI_3009G249000,SORBI_3002G043300,LOC_Os04g06510,
SORBI_3003G357500,SORBI_3001G205350,LOC_Os01g07870,SORBI_3006G120000,SORBI_3003G015700,SORBI_3006G191600,LOC_Os05g01620,
SORBI_3005G005800,SORBI_3001G205700,LOC_Os05g01620,SORBI_3006G160900,SORBI_3009G170700,SORBI_3001G399300,LOC_Os12g01120,
SORBI_3001G085600,SORBI_3003G051600,LOC_Os03g01460,SORBI_3001G026800,SORBI_3003G305400,SORBI_3003G370100,LOC_Os01g08990,
SORBI_3001G031400,SORBI_3007G144300,LOC_Os06g07030,SORBI_3004G319600,SORBI_3003G418700,SORBI_3003G287400,LOC_Os07g04850,
SORBI_3009G181800,SORBI_3004G270100,LOC_Os01g06640,SORBI_3001G265700,SORBI_3003G305000,SORBI_3010G089700,LOC_Os12g01080,
SORBI_3005G037000,SORBI_3003G115900,LOC_Os03g07610,SORBI_3003G052100,SORBI_3009G003800,SORBI_3001G386000,LOC_Os12g01090,
SORBI_3001G031700,SORBI_3003G095200,LOC_Os04g05080,SORBI_3003G375800,SORBI_3006G171400,SORBI_3001G249000,LOC_Os08g04470,
SORBI_3003G303000,SORBI_3004G319800,LOC_Os08g01220,SORBI_3006G217900,SORBI_3005G004400,SORBI_3004G196300,LOC_Os12g06360,
SORBI_3001G358200,SORBI_3001G065800,LOC_Os02g07520,SORBI_3007G144600,SORBI_3004G052200,SORBI_3006G114800,LOC_Os12g05740,
SORBI_3009G198500,SORBI_3002G361100,LOC_Os07g04850,SORBI_3010G052600,SORBI_3002G178900,LOC_Os08g05490,LOC_Os06g02100,
SORBI_3010G054200,SORBI_3004G147700,LOC_Os08g01330,SORBI_3001G099100,SORBI_3005G034100,LOC_Os04g05080,LOC_Os09g04260,
SORBI_3003G240100,SORBI_3009G147700,LOC_Os05g04260,SORBI_3001G099800,SORBI_3003G427500,LOC_Os12g01510,LOC_Os07g01340,
SORBI_3003G240400,SORBI_3001G205900,LOC_Os01g09730,SORBI_3003G341700,SORBI_3008G015000,LOC_Os09g04260,LOC_Os08g04920,
SORBI_3010G152000,SORBI_3007G135301,LOC_Os02g02910,SORBI_3003G341800,SORBI_3003G190100,LOC_Os07g05810,LOC_Os05g04850,
SORBI_3003G420100,SORBI_3003G022600,LOC_Os02g06990,SORBI_3010G212700,SORBI_3006G161300,LOC_Os09g04410,LOC_Os08g05250,
SORBI_3002G180300,SORBI_3009G064200,LOC_Os07g06850,SORBI_3004G341300,SORBI_3003G013100,LOC_Os05g01620,LOC_Os05g04940,
SORBI_3002G423300,SORBI_3006G192200,LOC_Os06g07000,SORBI_3010G178600,SORBI_3003G331100,LOC_Os07g06040,LOC_Os12g05970,
SORBI_3002G068600,SORBI_3006G191900,LOC_Os01g08540,SORBI_3001G209300,SORBI_3010G152000,LOC_Os08g05660,LOC_Os07g01600,
SORBI_3002G314000,SORBI_3009G217400,LOC_Os08g04920,SORBI_3004G017900,SORBI_3003G420100,LOC_Os10g04030,LOC_Os02g04400,
SORBI_3002G314100,SORBI_3010G088100,LOC_Os09g04010,SORBI_3003G308100,SORBI_3009G064200,LOC_Os09g03750,LOC_Os08g01220,
SORBI_3007G135301,SORBI_3002G125000,LOC_Os08g04600,SORBI_3001G209500,SORBI_3002G381500,LOC_Os02g01800,LOC_Os01g08510,
SORBI_3003G379000,SORBI_3002G125200,LOC_Os10g04940,SORBI_3002G250800,SORBI_3002G387200,LOC_Os02g06430,LOC_Os05g01690,
SORBI_3003G358300,SORBI_3002G125300,LOC_Os05g01030,SORBI_3001G192100,SORBI_3003G317700,LOC_Os06g07130,LOC_Os07g01860,
SORBI_3003G374000,SORBI_3001G041800,LOC_Os04g03680,SORBI_3010G220400,SORBI_3004G113300,LOC_Os06g07160,LOC_Os01g01560,
SORBI_3002G367900,SORBI_3002G388400,LOC_Os07g01940,SORBI_3006G227100,SORBI_3004G113400,LOC_Os07g05850,LOC_Os09g02530,
SORBI_3001G373600,SORBI_3001G379600,LOC_Os10g01540,SORBI_3006G227400,SORBI_3007G091100,LOC_Os05g05270,LOC_Os11g05820,
SORBI_3001G450800,SORBI_3002G424500,LOC_Os05g04850,SORBI_3004G265800,SORBI_3010G205200,LOC_Os06g02250,LOC_Os07g05810,
SORBI_3009G199100,SORBI_3003G139500,HORVU.MOREX.r3.5HG0461970,SORBI_3004G341700,SORBI_3001G090500,LOC_Os04g04150,LOC_Os12g05950,
SORBI_3003G317700,SORBI_3001G032700,HORVU.MOREX.r3.1HG0077960,SORBI_3004G319000,SORBI_3001G308400,LOC_Os12g01520,LOC_Os08g04600,
SORBI_3006G138200,SORBI_3002G295100,HORVU.MOREX.r3.5HG0513440,SORBI_3003G420100,SORBI_3003G367800,LOC_Os06g07080,LOC_Os05g01250,
SORBI_3010G164100,SORBI_3007G088000,HORVU.MOREX.r3.1HG0054180,SORBI_3010G064600,SORBI_3007G088000,HORVU.MOREX.r3.4HG0415430,LOC_Os08g01008,
SORBI_3004G106900,SORBI_3001G378700,HORVU.MOREX.r3.4HG0412770,SORBI_3003G077500,SORBI_3001G090100,HORVU.MOREX.r3.7HG0719410,LOC_Os04g05550,
SORBI_3009G181700,SORBI_3001G043800,HORVU.MOREX.r3.7HG0651280,SORBI_3006G261400,SORBI_3007G090200,HORVU.MOREX.r3.1HG0019330,LOC_Os07g04370,
SORBI_3010G155500,SORBI_3001G048700,HORVU.MOREX.r3.4HG0341970,SORBI_3001G375500,SORBI_3001G402200,HORVU.MOREX.r3.2HG0183080,LOC_Os06g02250,
SORBI_3001G090500,SORBI_3001G382000,HORVU.MOREX.r3.2HG0097240,SORBI_3003G373200,SORBI_3003G179700,HORVU.MOREX.r3.5HG0459970,HORVU.MOREX.r3.2HG0112720,
SORBI_3004G004800,SORBI_3004G299700,HORVU.MOREX.r3.5HG0468740,SORBI_3004G318800,SORBI_3003G374100,HORVU.MOREX.r3.5HG0460010,HORVU.MOREX.r3.7HG0667610,
SORBI_3001G375600,SORBI_3003G309600,HORVU.MOREX.r3.6HG0622130,SORBI_3008G003200,SORBI_3010G219500,HORVU.MOREX.r3.3HG0219290,HORVU.MOREX.r3.7HG0667620,
SORBI_3003G281400,SORBI_3006G062100,HORVU.MOREX.r3.7HG0651300,SORBI_3001G195000,SORBI_3009G170500,HORVU.MOREX.r3.3HG0220930,HORVU.MOREX.r3.4HG0338070,
SORBI_3001G226600,SORBI_3001G021500,HORVU.MOREX.r3.3HG0303660,SORBI_3003G373000,SORBI_3001G195800,HORVU.MOREX.r3.3HG0312690,HORVU.MOREX.r3.1HG0075890,
SORBI_3003G374100,SORBI_3007G165800,HORVU.MOREX.r3.4HG0332980,SORBI_3001G054800,SORBI_3004G247000,HORVU.MOREX.r3.3HG0307240,HORVU.MOREX.r3.6HG0614370,
SORBI_3003G244000,SORBI_3004G051900,HORVU.MOREX.r3.6HG0623790,SORBI_3006G217300,SORBI_3003G379700,HORVU.MOREX.r3.3HG0307250,HORVU.MOREX.r3.2HG0097240,
SORBI_3006G201200,SORBI_3010G246700,HORVU.MOREX.r3.3HG0219290,SORBI_3009G249500,SORBI_3010G197500,HORVU.MOREX.r3.3HG0231720,HORVU.MOREX.r3.6HG0629070,
SORBI_3003G426900,SORBI_3001G079300,HORVU.MOREX.r3.3HG0220930,SORBI_3001G377600,SORBI_3003G418500,HORVU.MOREX.r3.3HG0299050,HORVU.MOREX.r3.4HG0338210,
SORBI_3009G045100,SORBI_3006G248500,HORVU.MOREX.r3.6HG0619230,SORBI_3001G025700,SORBI_3006G160900,HORVU.MOREX.r3.4HG0411460,HORVU.MOREX.r3.2HG0097360,
SORBI_3001G328800,SORBI_3003G051100,HORVU.MOREX.r3.3HG0270430,SORBI_3001G186800,SORBI_3006G272800,HORVU.MOREX.r3.1HG0054280,HORVU.MOREX.r3.4HG0397900,
SORBI_3001G030400,SORBI_3003G115400,HORVU.MOREX.r3.7HG0728750,SORBI_3010G205200,SORBI_3006G217500,HORVU.MOREX.r3.2HG0112600,HORVU.MOREX.r3.1HG0058280,
SORBI_3006G208900,SORBI_3004G036800,HORVU.MOREX.r3.7HG0718170,SORBI_3007G167200,SORBI_3006G228100,HORVU.MOREX.r3.2HG0112610,HORVU.MOREX.r3.2HG0183830,
SORBI_3006G217800,SORBI_3004G319600,HORVU.MOREX.r3.2HG0177940,SORBI_3009G247100,SORBI_3009G003900,HORVU.MOREX.r3.6HG0546360,HORVU.MOREX.r3.2HG0102700,
SORBI_3002G418300,SORBI_3006G191600,HORVU.MOREX.r3.5HG0510530,SORBI_3001G425100,SORBI_3001G439800,HORVU.MOREX.r3.3HG0231730,HORVU.MOREX.r3.7HG0725980,
SORBI_3002G111500,SORBI_3004G178500,HORVU.MOREX.r3.4HG0412200,SORBI_3004G305900,SORBI_3002G274000,HORVU.MOREX.r3.5HG0489130,HORVU.MOREX.r3.7HG0746550,
SORBI_3007G022600,SORBI_3010G055000,HORVU.MOREX.r3.7HG0706740,SORBI_3009G249200,SORBI_3007G059600,HORVU.MOREX.r3.5HG0513800,HORVU.MOREX.r3.1HG0066860,
SORBI_3003G219700,SORBI_3010G055100,HORVU.MOREX.r3.5HG0494460,SORBI_3010G220600,SORBI_3009G205300,HORVU.MOREX.r3.6HG0543250,HORVU.MOREX.r3.7HG0667720,
SORBI_3003G219800,SORBI_3001G382100,HORVU.MOREX.r3.6HG0618250,SORBI_3003G160200,SORBI_3003G229400,HORVU.MOREX.r3.6HG0627350,HORVU.MOREX.r3.2HG0102130,
SORBI_3001G032000,SORBI_3002G179800,HORVU.MOREX.r3.6HG0633900,SORBI_3009G193400,SORBI_3009G205600,HORVU.MOREX.r3.7HG0663850,HORVU.MOREX.r3.4HG0338080,
SORBI_3001G133900,SORBI_3010G081800,HORVU.MOREX.r3.3HG0228240,SORBI_3010G220100,SORBI_3009G205700,HORVU.MOREX.r3.7HG0663860,HORVU.MOREX.r3.4HG0411460,
SORBI_3003G223950,SORBI_3001G079500,HORVU.MOREX.r3.3HG0228250,SORBI_3001G026300,SORBI_3009G193300,HORVU.MOREX.r3.7HG0687190,HORVU.MOREX.r3.1HG0088480,
SORBI_3007G059600,SORBI_3001G202400,HORVU.MOREX.r3.1HG0006570,SORBI_3003G045900,SORBI_3009G248600,HORVU.MOREX.r3.5HG0491270,HORVU.MOREX.r3.7HG0747230,
SORBI_3003G335900,SORBI_3001G244400,HORVU.MOREX.r3.6HG0545670,SORBI_3005G067300,SORBI_3007G134800,HORVU.MOREX.r3.3HG0290220,HORVU.MOREX.r3.5HG0514950,
SORBI_3003G223100,SORBI_3001G063300,HORVU.MOREX.r3.3HG0304120,SORBI_3005G067500,SORBI_3001G041500,HORVU.MOREX.r3.2HG0193650,HORVU.MOREX.r3.2HG0097620,
SORBI_3002G180000,SORBI_3002G040800,HORVU.MOREX.r3.3HG0331000,SORBI_3006G209400,SORBI_3003G367500,HORVU.MOREX.r3.2HG0107730,HORVU.MOREX.r3.7HG0731950,
SORBI_3006G217100,SORBI_3009G231400,HORVU.MOREX.r3.7HG0714140,SORBI_3003G379600,SORBI_3006G161100,HORVU.MOREX.r3.7HG0748630,HORVU.MOREX.r3.1HG0077790,
SORBI_3003G374400,SORBI_3003G225200,HORVU.MOREX.r3.3HG0288930,SORBI_3010G092600,SORBI_3005G145201,HORVU.MOREX.r3.7HG0748640,HORVU.MOREX.r3.4HG0417300,
SORBI_3003G412300,LOC_Os04g04520,HORVU.MOREX.r3.5HG0471130,SORBI_3003G418500,SORBI_3010G219700,HORVU.MOREX.r3.5HG0509200,HORVU.MOREX.r3.3HG0258640,
SORBI_3010G053200,LOC_Os03g08220,HORVU.MOREX.r3.3HG0307240,SORBI_3009G003900,SORBI_3002G230500,HORVU.MOREX.r3.3HG0312140,HORVU.MOREX.r3.4HG0334450,
SORBI_3001G361700,LOC_Os11g01280,HORVU.MOREX.r3.3HG0307250,SORBI_3006G217500,LOC_Os09g03230,HORVU.MOREX.r3.6HG0538880,HORVU.MOREX.r3.6HG0611040,
SORBI_3006G201000,LOC_Os09g04260,HORVU.MOREX.r3.2HG0111790,SORBI_3002G272900,LOC_Os02g01540,HORVU.MOREX.r3.4HG0386880,HORVU.MOREX.r3.5HG0524500,
SORBI_3010G030600,LOC_Os03g03760,HORVU.MOREX.r3.3HG0297100,SORBI_3003G153600,LOC_Os11g01280,HORVU.MOREX.r3.6HG0609880,HORVU.MOREX.r3.1HG0002020,
SORBI_3003G320500,LOC_Os01g09400,HORVU.MOREX.r3.3HG0233880,SORBI_3002G273200,LOC_Os09g04380,HORVU.MOREX.r3.7HG0652970,HORVU.MOREX.r3.7HG0747490,
SORBI_3002G219400,LOC_Os07g04370,HORVU.MOREX.r3.5HG0513310,SORBI_3003G376000,LOC_Os05g04730,HORVU.MOREX.r3.6HG0581990,HORVU.MOREX.r3.2HG0097190,
SORBI_3009G058800,LOC_Os11g05160,HORVU.MOREX.r3.4HG0334450,SORBI_3003G418700,LOC_Os11g01090,HORVU.MOREX.r3.2HG0149410,HORVU.MOREX.r3.2HG0180680,
SORBI_3004G206600,LOC_Os10g04960,HORVU.MOREX.r3.3HG0294710,SORBI_3006G217100,LOC_Os01g08120,HORVU.MOREX.r3.5HG0441100,HORVU.MOREX.r3.3HG0330150,
SORBI_3003G280400,LOC_Os07g06670,HORVU.MOREX.r3.2HG0207170,SORBI_3003G018800,LOC_Os02g45520,HORVU.MOREX.r3.5HG0535920,HORVU.MOREX.r3.4HG0338400,
SORBI_3002G266000,LOC_Os07g01200,HORVU.MOREX.r3.4HG0397460,SORBI_3001G023800,LOC_Os09g04260,HORVU.MOREX.r3.5HG0491290,HORVU.MOREX.r3.1HG0077190,
SORBI_3001G003300,LOC_Os10g04980,HORVU.MOREX.r3.5HG0511110,SORBI_3002G090800,LOC_Os03g07480,HORVU.MOREX.r3.6HG0574990,HORVU.MOREX.r3.6HG0611050,
SORBI_3003G287400,LOC_Os02g05370,HORVU.MOREX.r3.5HG0425080,SORBI_3001G082700,LOC_Os09g04410,HORVU.MOREX.r3.4HG0389460,HORVU.MOREX.r3.4HG0334480,
SORBI_3006G138500,LOC_Os12g05660,HORVU.MOREX.r3.5HG0425090,SORBI_3004G319300,HORVU.MOREX.r3.2HG0195580,HORVU.MOREX.r3.4HG0416360,HORVU.MOREX.r3.3HG0330200,
SORBI_3003G324600,LOC_Os09g04600,HORVU.MOREX.r3.5HG0420080,SORBI_3002G317300,HORVU.MOREX.r3.1HG0041440,HORVU.MOREX.r3.1HG0047980,HORVU.MOREX.r3.6HG0544350,
LOC_Os04g04520,LOC_Os10g04760,HORVU.MOREX.r3.1HG0058280,SORBI_3002G377300,HORVU.MOREX.r3.5HG0492640,HORVU.MOREX.r3.7HG0725210,HORVU.MOREX.r3.6HG0603550,
LOC_Os01g07500,LOC_Os09g05060,HORVU.MOREX.r3.4HG0335960,LOC_Os01g07500,HORVU.MOREX.r3.7HG0750280,HORVU.MOREX.r3.4HG0415470,HORVU.MOREX.r3.4HG0413910,
LOC_Os10g04780,LOC_Os09g02530,HORVU.MOREX.r3.3HG0307010,LOC_Os07g01010,HORVU.MOREX.r3.1HG0073500,HORVU.MOREX.r3.2HG0195130,HORVU.MOREX.r3.2HG0205830,
LOC_Os03g08220,LOC_Os07g05810,HORVU.MOREX.r3.1HG0057910,LOC_Os05g01620,HORVU.MOREX.r3.3HG0302440,HORVU.MOREX.r3.3HG0302160,HORVU.MOREX.r3.6HG0615160,
LOC_Os03g07640,LOC_Os01g01790,HORVU.MOREX.r3.2HG0104870,LOC_Os08g03020,HORVU.MOREX.r3.6HG0557060,HORVU.MOREX.r3.7HG0742350,HORVU.MOREX.r3.4HG0416360,
LOC_Os07g01420,LOC_Os08g03840,HORVU.MOREX.r3.2HG0104880,LOC_Os10g04780,HORVU.MOREX.r3.2HG0184560,HORVU.MOREX.r3.6HG0622250,HORVU.MOREX.r3.2HG0195130,
LOC_Os03g08230,LOC_Os03g03334,HORVU.MOREX.r3.2HG0177820,LOC_Os04g06879,HORVU.MOREX.r3.5HG0425710,HORVU.MOREX.r3.7HG0652750,HORVU.MOREX.r3.1HG0088870,
LOC_Os03g08240,LOC_Os12g01520,HORVU.MOREX.r3.3HG0307280,LOC_Os03g08220,HORVU.MOREX.r3.2HG0195300,HORVU.MOREX.r3.2HG0197560,HORVU.MOREX.r3.2HG0183860,
LOC_Os03g01320,LOC_Os03g01460,HORVU.MOREX.r3.5HG0510500,LOC_Os03g01320,HORVU.MOREX.r3.6HG0623790,HORVU.MOREX.r3.2HG0210290,HORVU.MOREX.r3.6HG0611070,
LOC_Os05g01690,HORVU.MOREX.r3.4HG0384700,HORVU.MOREX.r3.5HG0523150,LOC_Os05g01690,HORVU.MOREX.r3.4HG0387580,HORVU.MOREX.r3.2HG0184640,HORVU.MOREX.r3.6HG0627940,
LOC_Os03g07480,HORVU.MOREX.r3.5HG0471130,HORVU.MOREX.r3.1HG0059350,LOC_Os02g02910,HORVU.MOREX.r3.5HG0513910,HORVU.MOREX.r3.6HG0603440,HORVU.MOREX.r3.2HG0192380,
LOC_Os04g04590,HORVU.MOREX.r3.3HG0256620,HORVU.MOREX.r3.3HG0307120,LOC_Os03g01620,HORVU.MOREX.r3.2HG0112720,HORVU.MOREX.r3.7HG0721150,HORVU.MOREX.r3.2HG0111610,
LOC_Os03g04130,HORVU.MOREX.r3.7HG0723940,HORVU.MOREX.r3.1HG0052130,LOC_Os03g01660,HORVU.MOREX.r3.7HG0667660,HORVU.MOREX.r3.1HG0049580,HORVU.MOREX.r3.2HG0169290,
LOC_Os01g08320,HORVU.MOREX.r3.2HG0193690,HORVU.MOREX.r3.2HG0101260,LOC_Os10g04910,HORVU.MOREX.r3.2HG0106600,HORVU.MOREX.r3.3HG0298710,HORVU.MOREX.r3.7HG0636640,
LOC_Os09g02530,HORVU.MOREX.r3.2HG0198640,HORVU.MOREX.r3.5HG0511090,LOC_Os05g01160,HORVU.MOREX.r3.2HG0109530,HORVU.MOREX.r3.4HG0400060,HORVU.MOREX.r3.5HG0538180,
LOC_Os02g06990,HORVU.MOREX.r3.7HG0650710,HORVU.MOREX.r3.6HG0606340,LOC_Os01g01800,HORVU.MOREX.r3.2HG0195290,HORVU.MOREX.r3.3HG0306050,HORVU.MOREX.r3.2HG0097440,
LOC_Os04g04770,HORVU.MOREX.r3.7HG0650790,HORVU.MOREX.r3.3HG0255050,LOC_Os03g07650,HORVU.MOREX.r3.2HG0205400,HORVU.MOREX.r3.4HG0418230,HORVU.MOREX.r3.1HG0082770,
LOC_Os08g02400,HORVU.MOREX.r3.5HG0425710,HORVU.MOREX.r3.7HG0664030,LOC_Os03g07990,HORVU.MOREX.r3.4HG0414140,HORVU.MOREX.r3.7HG0715190,HORVU.MOREX.r3.7HG0730510,
LOC_Os08g05300,HORVU.MOREX.r3.2HG0169250,HORVU.MOREX.r3.1HG0060640,LOC_Os04g05780,HORVU.MOREX.r3.1HG0092880,HORVU.MOREX.r3.7HG0709580,HORVU.MOREX.r3.7HG0735560,
