Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb102470,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,717421at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb144570,PTI1-like tyrosine-protein kinase 3,OS01G0899000 PROTEIN (PTHR47983:SF33),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein tyrosine kinase activity(GO:0004713);non-membrane spanning protein tyrosine kinase activity(GO:0004715);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);protein kinase binding(GO:0019901),,,SORBI_3004G185000,LOC_Os01g08990,HORVU.MOREX.r3.4HG0338070,AT1G06700;AT2G41970
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb194740,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb276250,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb281180,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb330530,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb390710,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,640662at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb395060,,,,,,,SORBI_3001G080200;SORBI_3001G293000,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb002030,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb003170,,,,,,,SORBI_3001G133900,,HORVU.MOREX.r3.2HG0102130;HORVU.MOREX.r3.4HG0338080;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G59740;AT1G68570;AT2G40460;AT3G21670;AT3G45660
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb016040,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb023610,,,,,,,SORBI_3001G133900,,HORVU.MOREX.r3.2HG0102130;HORVU.MOREX.r3.4HG0338080;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G59740;AT1G68570;AT2G40460;AT3G21670;AT3G45660
am_roots_colonized,4829478at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb032800,,,,,,,,LOC_Os12g06360,HORVU.MOREX.r3.2HG0183830,AT4G28270
am_roots_colonized,609836at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb033760,Oligopeptide transporter 5,OS08G0492000 PROTEIN (PTHR22601:SF69),,oligopeptide transmembrane transporter activity(GO:0035673),protein transport(GO:0015031);peptide transport(GO:0015833);oligopeptide transmembrane transport(GO:0035672);transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3010G015500,LOC_Os08g04920,,AT5G55930
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb040920,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb046210,,,,,,,SORBI_3001G133900,,HORVU.MOREX.r3.2HG0102130;HORVU.MOREX.r3.4HG0338080;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G59740;AT1G68570;AT2G40460;AT3G21670;AT3G45660
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb046220,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb070510,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,16345at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb105040,,,,,,,,LOC_Os07g04850,HORVU.MOREX.r3.6HG0614370,AT1G35910;AT5G51460
am_roots_colonized,4285218at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb106450,,,,,,,SORBI_3002G329900;SORBI_3002G330000,,HORVU.MOREX.r3.4HG0338210,AT1G54690;AT3G20670;AT5G54640
am_roots_colonized,4285218at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb106460,,,,,,,SORBI_3002G329900;SORBI_3002G330000,,HORVU.MOREX.r3.4HG0338210,AT1G54690;AT3G20670;AT5G54640
am_roots_colonized,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb152390,,,,,,,SORBI_3001G133900,,HORVU.MOREX.r3.2HG0102130;HORVU.MOREX.r3.4HG0338080;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G59740;AT1G68570;AT2G40460;AT3G21670;AT3G45660
am_roots_colonized,5015019at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb160380,Beta-galactosidase,BETA-GALACTOSIDASE 2 (PTHR23421:SF153),galactosidase(PC00104),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-galactosidase activity(GO:0004565);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)",carbohydrate metabolic process(GO:0005975);plant-type cell wall modification(GO:0009827);galactose catabolic process(GO:0019388),vacuole(GO:0005773);plant-type cell wall(GO:0009505);apoplast(GO:0048046),SORBI_3002G279900;SORBI_3003G374100,,HORVU.MOREX.r3.1HG0066860,AT4G36360
am_roots_colonized,599360at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb178270,Amino acid transporter transmembrane domain-containing protein,AMINO ACID TRANSPORTER TRANSMEMBRANE DOMAIN-CONTAINING PROTEIN (PTHR48017:SF153),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020),,LOC_Os07g01340,HORVU.MOREX.r3.7HG0667720,AT1G58360
am_roots_colonized,16345at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb194210,,,,,,,,LOC_Os07g04850,HORVU.MOREX.r3.6HG0614370,AT1G35910;AT5G51460
am_roots_colonized,131670at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb198820,Tubby-like F-box protein,TUBBY-LIKE F-BOX PROTEIN 1 (PTHR16517:SF86),scaffold/adaptor protein(PC00226),,,,SORBI_3003G368000,,HORVU.MOREX.r3.1HG0075890,AT1G25280
am_roots_colonized,4829478at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb217370,,,,,,,,LOC_Os12g06360,HORVU.MOREX.r3.2HG0183830,AT4G28270
am_roots_colonized,16345at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb249690,,,,,,,,LOC_Os07g04850,HORVU.MOREX.r3.6HG0614370,AT1G35910;AT5G51460
am_roots_colonized,4854762at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb256120,,,,,,,SORBI_3004G009900,LOC_Os06g02100;LOC_Os09g04260,HORVU.MOREX.r3.7HG0725980;HORVU.MOREX.r3.7HG0746550,
am_roots_colonized,4842190at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb257490,Transmembrane amino acid transporter family protein,TRANSMEMBRANE AMINO ACID TRANSPORTER FAMILY PROTEIN (PTHR48017:SF75),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020);organelle membrane(GO:0031090),,LOC_Os12g05740,HORVU.MOREX.r3.2HG0102700,AT5G15240
am_roots_colonized,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb275510,,,,,,,SORBI_3001G003600;SORBI_3002G280500,,HORVU.MOREX.r3.2HG0097240;HORVU.MOREX.r3.6HG0629070,AT2G30310;AT2G40250
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb290670,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,755348at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb291010,Cation_H(+) antiporter 15,OS05G0485000 PROTEIN (PTHR32468:SF164),transporter(PC00227),antiporter activity(GO:0015297),monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);potassium ion transport(GO:0006813);regulation of pH(GO:0006885);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600),chloroplast envelope(GO:0009941);endomembrane system(GO:0012505);membrane(GO:0016020),SORBI_3003G335700,LOC_Os05g04850,,AT5G58460
am_roots_colonized,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb316130,,,,,,,SORBI_3002G074000;SORBI_3003G375800;SORBI_3003G432000,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0747230,AT1G72300;AT2G02220
am_roots_colonized,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb335710,,,,,,,SORBI_3001G133900,,HORVU.MOREX.r3.2HG0102130;HORVU.MOREX.r3.4HG0338080;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G59740;AT1G68570;AT2G40460;AT3G21670;AT3G45660
am_roots_colonized,599360at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb349050,,,,,,,,LOC_Os07g01340,HORVU.MOREX.r3.7HG0667720,AT1G58360
am_roots_colonized,4495752at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb368580,Laccase,LACCASE-5 (PTHR11709:SF431),oxidase(PC00175),copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716),lignin catabolic process(GO:0046274),apoplast(GO:0048046),,LOC_Os12g01080,HORVU.MOREX.r3.2HG0097360,AT2G38080;AT3G09220;AT4G39830
am_roots_colonized,599360at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb384620,,,,,,,,LOC_Os07g01340,HORVU.MOREX.r3.7HG0667720,AT1G58360
am_roots_colonized,482605at33090,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb389520,D-3-phosphoglycerate dehydrogenase,"D-3-PHOSPHOGLYCERATE DEHYDROGENASE 2, CHLOROPLASTIC (PTHR42938:SF46)",dehydrogenase(PC00092),"phosphoglycerate dehydrogenase activity(GO:0004617);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)",L-serine biosynthetic process(GO:0006564);amino acid biosynthetic process(GO:0008652),chloroplast(GO:0009507);plastid(GO:0009536);chloroplast stroma(GO:0009570),,LOC_Os08g04470,HORVU.MOREX.r3.1HG0058280,AT3G19480;AT4G34200
am_roots_colonized,4854762at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb392430,,,,,,,SORBI_3004G009900,LOC_Os06g02100;LOC_Os09g04260,HORVU.MOREX.r3.7HG0725980;HORVU.MOREX.r3.7HG0746550,
am_roots_colonized,4653520at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb400530,Nucleotidyl transferase domain-containing protein,MANNOSE-1-PHOSPHATE GUANYLTRANSFERASE ALPHA (PTHR22572:SF104),transferase(PC00220),nucleotidyltransferase activity(GO:0016779),,cytoplasm(GO:0005737),,LOC_Os12g01090,HORVU.MOREX.r3.4HG0397900,AT3G55590
am_roots_colonized,599360at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb408430,,,,,,,,LOC_Os07g01340,HORVU.MOREX.r3.7HG0667720,AT1G58360
am_roots_colonized,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb426230,GDSL esterase_lipase LTL1,OS04G0507700 PROTEIN (PTHR45648:SF21),lipase(PC00143),"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",lipid catabolic process(GO:0016042),,SORBI_3001G003600;SORBI_3002G280500,,HORVU.MOREX.r3.2HG0097240;HORVU.MOREX.r3.6HG0629070,AT2G30310;AT2G40250
am_roots_colonized,4971251at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb004030,Proteasome subunit alpha type,PROTEASOME SUBUNIT ALPHA TYPE-5 (PTHR11599:SF14),protease(PC00190),"structural constituent of ribosome(GO:0003735);catalytic activity, acting on a nucleic acid(GO:0140640)",ubiquitin-dependent protein catabolic process(GO:0006511);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);proteolysis involved in protein catabolic process(GO:0051603),"proteasome complex(GO:0000502);nucleus(GO:0005634);cytoplasm(GO:0005737);proteasome core complex(GO:0005839);proteasome core complex, alpha-subunit complex(GO:0019773)",SORBI_3002G279000,,,AT1G47250;AT5G42790
am_roots_colonized,505447at2759,3,Maize;Rice;Arabidopsis,Zm00001eb004630,Neurogenic locus notch protein-like,EGF-LIKE DOMAIN-CONTAINING PROTEIN (PTHR33881:SF17),,,,,,LOC_Os11g05820,,AT4G14746
am_roots_colonized,705275at2759,3,Maize;Rice;Arabidopsis,Zm00001eb004710,Flavin-containing monooxygenase,INDOLE-3-PYRUVATE MONOOXYGENASE YUCCA8 (PTHR43539:SF51),oxygenase(PC00177),"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)",auxin biosynthetic process(GO:0009851);regulation of leaf development(GO:2000024);regulation of root development(GO:2000280),endoplasmic reticulum(GO:0005783),,LOC_Os07g04370,,AT4G28720
am_roots_colonized,625168at33090,3,Maize;Barley;Arabidopsis,Zm00001eb009430,,,,,,,,,HORVU.MOREX.r3.2HG0097440,AT4G37680
am_roots_colonized,202899at2759,3,Maize;Rice;Arabidopsis,Zm00001eb010640,Cytochrome P450 family 76 subfamily C polypeptide 7,OS03G0248200 PROTEIN (PTHR47950:SF46),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)",defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502),,,LOC_Os05g04940,,AT5G09970
am_roots_colonized,788495at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb012340,,,,,,,SORBI_3002G137000;SORBI_3002G180000,,,AT2G02800
am_roots_colonized,5013265at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb012470,Heat shock cognate 70 kDa protein 2,HEAT SHOCK 70 KDA PROTEIN 4 (PTHR19375:SF381),Hsp70 family chaperone(PC00027),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);heat shock protein binding(GO:0031072);protein folding chaperone(GO:0044183);ATP-dependent protein folding chaperone(GO:0140662),response to heat(GO:0009408);response to virus(GO:0009615);protein refolding(GO:0042026),cytoplasm(GO:0005737),SORBI_3004G011700,,,AT1G09080;AT5G28540
am_roots_colonized,91193at2759,3,Maize;Barley;Arabidopsis,Zm00001eb015710,,,,,,,,,HORVU.MOREX.r3.6HG0616240,AT1G70710
am_roots_colonized,159655at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb023840,Cyclin-U4-2,CYCLIN-P4-1 (PTHR15615:SF91),,protein kinase binding(GO:0019901),cell division(GO:0051301),,SORBI_3006G171400,,,AT2G44740
am_roots_colonized,4350256at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb029710,Hexosyltransferase,HEXOSYLTRANSFERASE (PTHR32116:SF71),transferase(PC00220),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);polygalacturonate 4-alpha-galacturonosyltransferase activity(GO:0047262),pectin biosynthetic process(GO:0045489);cell wall organization(GO:0071555),Golgi membrane(GO:0000139),SORBI_3006G232000,,,AT1G13250;AT1G19300;AT3G01040;AT5G54690
am_roots_colonized,679576at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb030190,,,,,,,SORBI_3001G079500,,,AT3G19580
am_roots_colonized,36205at33090,3,Maize;Rice;Arabidopsis,Zm00001eb030890,,,,,,,,LOC_Os12g05970,,AT5G24270
am_roots_colonized,5006073at2759,3,Maize;Sorghum;Barley,Zm00001eb034990,ABC transporter C family member 10,ABC TRANSPORTER C FAMILY MEMBER 10 (PTHR24223:SF459),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),membrane(GO:0016020),SORBI_3006G195800,,HORVU.MOREX.r3.2HG0195130,
am_roots_colonized,91193at2759,3,Maize;Barley;Arabidopsis,Zm00001eb042070,,,,,,,,,HORVU.MOREX.r3.6HG0616240,AT1G70710
am_roots_colonized,679576at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb058370,C2H2-type domain-containing protein,ZINC FINGER PROTEIN 1 (PTHR45988:SF91),C2H2 zinc finger transcription factor(PC00248),transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634),SORBI_3001G079500,,,AT3G19580
am_roots_colonized,611080at2759,3,Maize;Sorghum;Barley,Zm00001eb059850,"Ferredoxin--NADP reductase, chloroplastic","FERREDOXIN--NADP REDUCTASE, ROOT ISOZYME 2, CHLOROPLASTIC (PTHR43314:SF28)",,nucleotide binding(GO:0000166);ferredoxin-NADP+ reductase activity(GO:0004324);oxidoreductase activity(GO:0016491),photosynthesis(GO:0015979),chloroplast(GO:0009507);chloroplast thylakoid membrane protein complex(GO:0098807),SORBI_3003G431700,,HORVU.MOREX.r3.7HG0636640,
am_roots_colonized,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb072810,,,,,,,SORBI_3001G361300;SORBI_3004G279100,,,AT2G41860;AT3G51850;AT4G09570;AT4G23650
am_roots_colonized,5006434at2759,3,Maize;Sorghum;Rice,Zm00001eb072870,,,,,,,SORBI_3004G279300,LOC_Os01g01560,,
am_roots_colonized,644422at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb072900,Uncharacterized protein,OS04G0583200 PROTEIN (PTHR33172:SF105),,,response to stress(GO:0006950),nucleus(GO:0005634),SORBI_3004G279700,,,AT5G56550
am_roots_colonized,4971652at2759,3,Maize;Barley;Arabidopsis,Zm00001eb075530,Beta-fructofuranosidase 1,"ACID BETA-FRUCTOFURANOSIDASE 4, VACUOLAR (PTHR31953:SF1)",,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-fructofuranosidase activity(GO:0004564);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975),vacuole(GO:0005773),,,HORVU.MOREX.r3.4HG0413910,AT1G55120
am_roots_colonized,794814at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb076640,,,,,,,SORBI_3006G114800,,,AT1G02130;AT4G17530
am_roots_colonized,4805980at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb076810,,,,,,,SORBI_3002G175500,,,AT3G12240
am_roots_colonized,635728at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb080050,Amino acid transporter transmembrane domain-containing protein,OS04G0470700 PROTEIN (PTHR48017:SF1),,,,,SORBI_3003G376000,,,AT1G44100
am_roots_colonized,516269at2759,3,Maize;Rice;Arabidopsis,Zm00001eb093490,,,,,,,,LOC_Os07g05810,,AT1G06890;AT5G42420;AT5G57100
am_roots_colonized,4971251at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb103720,,,,,,,SORBI_3002G279000,,,AT1G47250;AT5G42790
am_roots_colonized,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb107190,,,,,,,SORBI_3001G361300;SORBI_3004G279100,,,AT2G41860;AT3G51850;AT4G09570;AT4G23650
am_roots_colonized,516269at2759,3,Maize;Rice;Arabidopsis,Zm00001eb107700,,,,,,,,LOC_Os07g05810,,AT1G06890;AT5G42420;AT5G57100
am_roots_colonized,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb110250,,,,,,,SORBI_3001G361300;SORBI_3004G279100,,,AT2G41860;AT3G51850;AT4G09570;AT4G23650
am_roots_colonized,226419at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb110690,,,,,,,SORBI_3002G338500,,,AT1G50310;AT3G19930
am_roots_colonized,664997at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb117240,Putative carboxylesterase 15,ALPHA_BETA HYDROLASE FOLD-3 DOMAIN-CONTAINING PROTEIN (PTHR23024:SF657),deacetylase(PC00087),hydrolase activity(GO:0016787),,,SORBI_3009G134600,,,AT3G05120
am_roots_colonized,4804397at2759,3,Maize;Rice;Arabidopsis,Zm00001eb123200,,,,,,,,LOC_Os05g01690;LOC_Os07g01860,,AT1G19730;AT1G45145;AT1G59730;AT3G08710;AT5G42980
am_roots_colonized,4819616at2759,3,Maize;Barley;Arabidopsis,Zm00001eb123230,,,,,,,,,HORVU.MOREX.r3.3HG0330200,AT3G53420
am_roots_colonized,549788at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb134870,Uncharacterized protein,EXPRESSED PROTEIN (PTHR33167:SF26),,,,,SORBI_3001G080600,,,AT5G67390
am_roots_colonized,351217at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb151280,NAD(P)H dehydrogenase (quinone),NAD(P)H DEHYDROGENASE (QUINONE) (PTHR30546:SF56),oxidoreductase(PC00176),,,,SORBI_3004G185100,,,AT5G58800
am_roots_colonized,646613at2759,3,Maize;Rice;Barley,Zm00001eb155450,,,,,,,,LOC_Os08g04600,HORVU.MOREX.r3.7HG0730510,
am_roots_colonized,785990at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb159580,Putative GABA transporter 2,GABA TRANSPORTER 2-RELATED (PTHR48017:SF54),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020),SORBI_3009G250200,,,AT2G39890;AT5G41800
am_roots_colonized,36205at33090,3,Maize;Rice;Arabidopsis,Zm00001eb160330,Calcineurin B-like protein,CALCINEURIN B-LIKE PROTEIN 10 (PTHR23056:SF26),,,,,,LOC_Os12g05970,,AT5G24270
am_roots_colonized,595263at2759,3,Maize;Barley;Arabidopsis,Zm00001eb161660,Amino-acid permease BAT1,AMINO-ACID PERMEASE BAT1 (PTHR45649:SF30),,,,,,,HORVU.MOREX.r3.2HG0169290,AT2G01170
am_roots_colonized,516269at2759,3,Maize;Rice;Arabidopsis,Zm00001eb163560,,,,,,,,LOC_Os07g05810,,AT1G06890;AT5G42420;AT5G57100
am_roots_colonized,4828752at2759,3,Maize;Sorghum;Barley,Zm00001eb165430,Carboxypeptidase,CARBOXYPEPTIDASE (PTHR11802:SF58),serine protease(PC00203),carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,SORBI_3004G010000,,HORVU.MOREX.r3.6HG0544350,
am_roots_colonized,699175at3193,3,Maize;Barley;Arabidopsis,Zm00001eb172420,Caffeic acid 3-O-methyltransferase,ACETYLSEROTONIN O-METHYLTRANSFERASE (PTHR11746:SF199),methyltransferase(PC00155),methyltransferase activity(GO:0008168);O-methyltransferase activity(GO:0008171);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);transferase activity(GO:0016740);acetylserotonin O-methyltransferase activity(GO:0017096);protein dimerization activity(GO:0046983);caffeate O-methyltransferase activity(GO:0047763);tricetin O-methytransferase activity(GO:0102146);flavone 3'-O-methyltransferase activity(GO:0102822),response to wounding(GO:0009611);phenylpropanoid biosynthetic process(GO:0009699);lignin biosynthetic process(GO:0009809);melatonin biosynthetic process(GO:0030187);methylation(GO:0032259);secondary metabolite biosynthetic process(GO:0044550);flavonol biosynthetic process(GO:0051555),,,,HORVU.MOREX.r3.3HG0330120,AT5G54160
am_roots_colonized,281993at2759,3,Maize;Rice;Barley,Zm00001eb173420,,,,,,,,LOC_Os08g01220,HORVU.MOREX.r3.4HG0334450,
am_roots_colonized,106400at33090,3,Maize;Barley;Arabidopsis,Zm00001eb186790,,,,,,,,,HORVU.MOREX.r3.5HG0514950,AT4G25590
