Phenotype,species,snp,chr,pos,p,logp
soilN,Barley,"chr7H:360706087\A,\G",7H,360706087,0.0004629317,3.33448307917895
soilN,Barley,"chr7H:324895846\A,\T",7H,324895846,0.0004638885,3.33358639369906
soilN,Barley,"chr5H:39272148\G,\A",5H,39272148,0.0004646132,3.33290845573741
soilN,Barley,"chr5H:267432199\C,\A",5H,267432199,0.0004661613,3.33146378378431
soilN,Barley,"chr5H:37613222\T,\G",5H,37613222,0.0004682106,3.32955875836815
soilN,Barley,"chr4H:42109948\T,\G",4H,42109948,0.0004702078,3.32771017089619
soilN,Barley,"chr1H:509848571\C,\T",1H,509848571,0.0004730927,3.3250537532285
soilN,Barley,"chr1H:508212664\G,\C",1H,508212664,0.000473634,3.32455712916862
soilN,Barley,"chr3H:160134657\G,\A",3H,160134657,0.000473662,3.32453145557664
soilN,Barley,"chr6H:531178079\C,\T",6H,531178079,0.0004753789,3.32296009862158
soilN,Barley,"chr3H:400135969\T,\C",3H,400135969,0.0004793699,3.31932923912653
soilN,Barley,"chr3H:236673067\G,\A",3H,236673067,0.0004799619,3.3187932361171
soilN,Barley,"chr4H:45998306\G,\A",4H,45998306,0.0004802438,3.31853823321935
soilN,Barley,"chr6H:483007414\C,\T",6H,483007414,0.0004859621,3.31339759987905
soilN,Barley,"chr1H:510087712\C,\T",1H,510087712,0.0004861576,3.31322292062431
soilN,Barley,"chr3H:161058323\T,\C",3H,161058323,0.0004874455,3.3120739345755
soilN,Barley,"chr3H:161058338\G,\A",3H,161058338,0.0004874455,3.3120739345755
soilN,Barley,"chr4H:496261194\G,\T",4H,496261194,0.0004878768,3.31168983339735
soilN,Barley,"chr5H:571005780\C,\T",5H,571005780,0.0004885374,3.31110218324126
soilN,Barley,"chr4H:44117944\T,\C",4H,44117944,0.0004887372,3.31092460359539
soilN,Barley,"chr2H:4978955\T,\C",2H,4978955,0.0004891179,3.31058644323274
soilN,Barley,"chr4H:496277634\T,\G",4H,496277634,0.0004891722,3.31053823219516
soilN,Barley,"chr4H:496277670\G,\A",4H,496277670,0.0004891722,3.31053823219516
soilN,Barley,"chr4H:496277681\A,\G",4H,496277681,0.0004891722,3.31053823219516
soilN,Barley,"chr2H:9278870\C,\T",2H,9278870,0.0004892813,3.31044138236392
soilN,Barley,"chr3H:35031472\G,\C",3H,35031472,0.0004928301,3.30730277514416
soilN,Barley,"chr2H:17636507\C,\T",2H,17636507,0.0004938883,3.30637126196484
soilN,Barley,"chr2H:4786441\C,\T",2H,4786441,0.000494705,3.30565370018477
soilN,Barley,"chr5H:38264665\C,\T",5H,38264665,0.000496489,3.30409036910661
soilN,Barley,"chr7H:70483898\G,\A",7H,70483898,0.0004981195,3.30266645650767
soilN,Barley,"chr3H:347195373\G,\C",3H,347195373,0.0004991174,3.30179728969656
soilN,Barley,"chr5H:13991258\G,\A",5H,13991258,0.0005033213,3.29815469035246
soilN,Barley,"chr7H:172304342\T,\C",7H,172304342,0.0005035371,3.29796852564324
soilN,Barley,"chr6H:432657346\A,\G",6H,432657346,0.0005041397,3.29744910138739
soilN,Barley,"chr3H:12189023\C,\T",3H,12189023,0.0005057735,3.29604392925272
soilN,Barley,"chr1H:441819479\A,\C",1H,441819479,0.0005065212,3.29540237290916
soilN,Barley,"chr2H:64503067\C,\T",2H,64503067,0.0005073147,3.2947225533412
soilN,Barley,"chr3H:601001258\G,\A",3H,601001258,0.0005086988,3.29353928685064
soilN,Barley,"chr7H:110917478\A,\T",7H,110917478,0.0005091842,3.29312508097925
soilN,Barley,"chr5H:1526461\G,\A",5H,1526461,0.0005125609,3.29025452644266
soilN,Barley,"chr6H:90512426\G,\A",6H,90512426,0.0005126212,3.29020343706588
soilN,Barley,"chr5H:444467677\G,\A",5H,444467677,0.0005127378,3.29010466436908
soilN,Barley,"chr7H:27250471\A,\G",7H,27250471,0.0005129451,3.28992911450406
soilN,Barley,"chr2H:643923155\G,\A",2H,643923155,0.0005140579,3.28898796226089
soilN,Barley,"chr2H:643923164\C,\T",2H,643923164,0.0005140579,3.28898796226089
soilN,Barley,"chr1H:362697105\C,\T",1H,362697105,0.0005171621,3.28637330970806
soilN,Barley,"chr4H:570125625\A,\G",4H,570125625,0.0005186657,3.28511247148448
soilN,Barley,"chr6H:157918400\T,\C",6H,157918400,0.0005197671,3.28419121375508
soilN,Barley,"chr7H:42920448\G,\T",7H,42920448,0.0005207212,3.28339474063506
soilN,Barley,"chr4H:13273512\G,\A",4H,13273512,0.0005212891,3.28292135594646
soilN,Barley,"chr5H:582248406\C,\A",5H,582248406,0.0005213132,3.28290127830609
soilN,Barley,"chr3H:14358399\T,\C",3H,14358399,0.0005226523,3.28178713409409
soilN,Barley,"chr3H:588741528\G,\A",3H,588741528,0.000522761,3.28169681993728
soilN,Barley,"chr3H:399140767\A,\G",3H,399140767,0.0005239222,3.28073319893088
soilN,Barley,"chr5H:38383825\T,\C",5H,38383825,0.0005239732,3.28069092559216
soilN,Barley,"chr7H:27364627\T,\C",7H,27364627,0.0005262191,3.27883339252158
soilN,Barley,"chr6H:351695103\C,\T",6H,351695103,0.0005262599,3.27879972113266
soilN,Barley,"chr4H:2785132\T,\C",4H,2785132,0.000527995,3.2773701901228
soilN,Barley,"chr3H:514208671\C,\T",3H,514208671,0.0005282041,3.27719823205665
soilN,Barley,"chr6H:560514678\C,\G",6H,560514678,0.0005292894,3.27630680347256
soilN,Barley,"chr5H:489479652\T,\C",5H,489479652,0.0005293569,3.27625142165605
soilN,Barley,"chr3H:227400234\A,\G",3H,227400234,0.0005316237,3.27439566627372
soilN,Barley,"chr3H:594097374\G,\C",3H,594097374,0.0005324236,3.27374270240357
soilN,Barley,"chr5H:13616476\C,\T",5H,13616476,0.0005346796,3.27190638552083
soilN,Barley,"chr7H:70483897\T,\A",7H,70483897,0.0005357558,3.27103311866344
soilN,Barley,"chr5H:524518166\A,\G",5H,524518166,0.0005383413,3.26894230107959
soilN,Barley,"chr2H:468918863\G,\T",2H,468918863,0.0005399468,3.26764902833374
soilN,Barley,"chr6H:537182307\G,\A",6H,537182307,0.0005434332,3.26485383272646
soilN,Barley,"chr2H:60274214\G,\C",2H,60274214,0.0005466925,3.26225688409446
soilN,Barley,"chr6H:427462898\C,\T",6H,427462898,0.000546783,3.26218499652002
soilN,Barley,"chr7H:345703213\T,\C",7H,345703213,0.0005476655,3.26148461644121
soilN,Barley,"chr6H:329701693\T,\C",6H,329701693,0.0005512566,3.25864619783899
soilN,Barley,"chr4H:51869404\G,\T",4H,51869404,0.0005515108,3.25844597853752
soilN,Barley,"chr7H:625026990\C,\T",7H,625026990,0.0005583232,3.25311432553907
soilN,Barley,"chr6H:33516734\A,\C",6H,33516734,0.000559167,3.25245846698483
soilN,Barley,"chr5H:8929602\T,\G",5H,8929602,0.0005598799,3.25190512363875
soilN,Barley,"chr3H:419154714\G,\T",3H,419154714,0.0005633949,3.24918708868124
soilN,Barley,"chr7H:248194756\G,\C",7H,248194756,0.00056531,3.24771333205906
soilN,Barley,"chr1H:510057877\A,\G",1H,510057877,0.0005660633,3.24713500113758
soilN,Barley,"chr2H:603886000\C,\T",2H,603886000,0.0005668032,3.24656770652193
soilN,Barley,"chr2H:2277141\G,\A",2H,2277141,0.0005668198,3.24655498749912
soilN,Barley,"chr3H:567270254\T,\G",3H,567270254,0.0005670322,3.24639227817015
soilN,Barley,"chr6H:150847432\G,\A",6H,150847432,0.0005697625,3.24430613807128
soilN,Barley,"chr6H:36381631\C,\T",6H,36381631,0.0005719559,3.24263745569123
soilN,Barley,"chr5H:579676649\C,\T",5H,579676649,0.000572771,3.24201897893136
soilN,Barley,"chr5H:579676657\G,\A",5H,579676657,0.000572771,3.24201897893136
soilN,Barley,"chr2H:204926048\C,\G",2H,204926048,0.0005732757,3.24163646670182
soilN,Barley,"chr6H:145502448\G,\T",6H,145502448,0.0005764922,3.23920656437947
soilN,Barley,"chr5H:8758030\C,\T",5H,8758030,0.0005817206,3.23528555661092
soilN,Barley,"chr5H:562439487\C,\T",5H,562439487,0.0005828652,3.23443187348333
soilN,Barley,"chr7H:605798449\C,\T",7H,605798449,0.0005840641,3.23353948722213
soilN,Barley,"chr3H:399320068\T,\G",3H,399320068,0.000584201,3.23343770396276
soilN,Barley,"chr5H:38264676\G,\C",5H,38264676,0.0005860818,3.23204176485332
soilN,Barley,"chr3H:14358396\T,\G",3H,14358396,0.0005906796,3.22864802789018
soilN,Barley,"chr6H:543482789\C,\T",6H,543482789,0.0005910707,3.22836056855452
soilN,Barley,"chr3H:493559368\A,\G",3H,493559368,0.0005914821,3.22805839387435
soilN,Barley,"chr6H:22807329\G,\A",6H,22807329,0.0005929542,3.22697885040544
soilN,Barley,"chr2H:25854198\G,\A",2H,25854198,0.0005950544,3.22544332916245
soilN,Barley,"chr2H:151541401\G,\A",2H,151541401,0.0005966859,3.22425422464048
soilN,Barley,"chr5H:38264638\G,\A",5H,38264638,0.0005968207,3.22415612229834
soilN,Barley,"chr5H:37604154\C,\T",5H,37604154,0.0006018083,3.22054182686622
soilN,Barley,"chr2H:106300781\C,\A",2H,106300781,0.0006056994,3.21774285654442
soilN,Barley,"chr2H:106300800\C,\T",2H,106300800,0.0006056994,3.21774285654442
soilN,Barley,"chr7H:58360361\T,\G",7H,58360361,0.0006058083,3.2176647808224
soilN,Barley,"chr5H:474769581\T,\C",5H,474769581,0.0006063305,3.21729058507439
soilN,Barley,"chr3H:43008906\C,\T",3H,43008906,0.0006116116,3.21352428622863
soilN,Barley,"chr2H:210755026\A,\G",2H,210755026,0.0006121697,3.21312817008083
soilN,Barley,"chr5H:441398750\C,\T",5H,441398750,0.0006131569,3.21242838015494
soilN,Barley,"chr2H:25080319\G,\A",2H,25080319,0.0006170697,3.20966577824268
soilN,Barley,"chr5H:39188053\G,\C",5H,39188053,0.0006171855,3.20958428569372
soilN,Barley,"chr7H:612938793\G,\T",7H,612938793,0.0006182641,3.20882597042584
soilN,Barley,"chr7H:605858056\A,\G",7H,605858056,0.0006200949,3.20754184051398
soilN,Barley,"chr1H:382607170\A,\T",1H,382607170,0.0006227736,3.20566980589411
soilN,Barley,"chr3H:161058387\T,\C",3H,161058387,0.0006232207,3.20535813019673
soilN,Barley,"chr3H:40045848\T,\C",3H,40045848,0.0006254628,3.20379851528336
soilN,Barley,"chr3H:456236386\T,\C",3H,456236386,0.0006261601,3.20331460982979
soilN,Barley,"chr7H:616291867\G,\C",7H,616291867,0.0006291271,3.20126160693553
soilN,Barley,"chr6H:387051087\G,\C",6H,387051087,0.0006305003,3.20031470244805
soilN,Barley,"chr5H:579676619\C,\G",5H,579676619,0.0006305974,3.20024782421289
soilN,Barley,"chr5H:562319514\G,\C",5H,562319514,0.000631503,3.19962458195687
soilN,Barley,"chr5H:538628124\T,\C",5H,538628124,0.0006318557,3.19938209236504
soilN,Barley,"chr3H:19166628\A,\T",3H,19166628,0.0006325731,3.19888928028302
soilN,Barley,"chr3H:601323440\A,\G",3H,601323440,0.000633019,3.19858325448293
soilN,Barley,"chr7H:338436019\C,\T",7H,338436019,0.0006335809,3.19819792351079
soilN,Barley,"chr2H:31123573\C,\G",2H,31123573,0.0006386423,3.19474231967038
soilN,Barley,"chr1H:14729149\A,\G",1H,14729149,0.0006387078,3.19469778013719
soilN,Barley,"chr4H:8026654\C,\G",4H,8026654,0.0006391397,3.19440420552225
soilN,Barley,"chr2H:49234035\G,\A",2H,49234035,0.0006402208,3.19367022025986
soilN,Barley,"chr6H:522132133\T,\G",6H,522132133,0.0006415478,3.19277097997049
soilN,Barley,"chr2H:643923182\C,\T",2H,643923182,0.0006421734,3.19234768767091
soilN,Barley,"chr1H:512403070\C,\A",1H,512403070,0.0006450154,3.19042991628693
soilN,Barley,"chr7H:40759745\T,\C",7H,40759745,0.0006457933,3.18990646502979
soilN,Barley,"chr2H:4981298\C,\T",2H,4981298,0.0006478543,3.18852265434673
soilN,Barley,"chr5H:14002807\A,\G",5H,14002807,0.0006494356,3.1874639084113
soilN,Barley,"chr4H:577155424\C,\T",4H,577155424,0.0006511377,3.1863271588568
soilN,Barley,"chr4H:557865424\T,\C",4H,557865424,0.0006530525,3.18505190365021
soilN,Barley,"chr4H:6535910\G,\C",4H,6535910,0.0006553409,3.18353272676382
soilN,Barley,"chr4H:6535946\T,\A",4H,6535946,0.0006553409,3.18353272676382
soilN,Barley,"chr7H:59083450\T,\G",7H,59083450,0.0006555098,3.18342081113773
soilN,Barley,"chr3H:594721436\C,\G",3H,594721436,0.0006555755,3.18337728514063
soilN,Barley,"chr5H:39188138\C,\T",5H,39188138,0.0006560359,3.18307239424431
soilN,Barley,"chr7H:241988035\A,\G",7H,241988035,0.0006582563,3.18160497568237
soilN,Barley,"chr7H:31761972\T,\C",7H,31761972,0.0006603161,3.18024811351615
soilN,Barley,"chr2H:409432861\C,\T",2H,409432861,0.0006605794,3.18007497379602
soilN,Barley,"chr1H:473235670\G,\A",1H,473235670,0.0006607726,3.17994797403441
soilN,Barley,"chr4H:603672174\A,\C",4H,603672174,0.0006612822,3.17961316721862
soilN,Barley,"chr1H:362697073\A,\G",1H,362697073,0.0006721706,3.17252048701233
soilN,Barley,"chr4H:542545065\T,\C",4H,542545065,0.0006820952,3.16615500664954
soilN,Barley,"chr4H:542545078\G,\T",4H,542545078,0.0006820952,3.16615500664954
soilN,Barley,"chr4H:542545101\C,\T",4H,542545101,0.0006820952,3.16615500664954
soilN,Barley,"chr4H:517303091\G,\A",4H,517303091,0.0006844588,3.16465268846668
soilN,Barley,"chr5H:481075561\A,\G",5H,481075561,0.0006862544,3.16351485800328
soilN,Barley,"chr1H:380436922\C,\T",1H,380436922,0.0006878429,3.16251074120337
soilN,Barley,"chr5H:454165477\A,\G",5H,454165477,0.0006890661,3.16173911555489
soilN,Barley,"chr3H:390884382\G,\A",3H,390884382,0.0006898911,3.16121945767092
soilN,Barley,"chr5H:9017998\C,\G",5H,9017998,0.0006906429,3.16074644849654
soilN,Barley,"chr3H:478992778\T,\C",3H,478992778,0.0006906723,3.16072796139414
soilN,Barley,"chr6H:2298457\C,\T",6H,2298457,0.0006925403,3.15955494925503
soilN,Barley,"chr2H:23603720\A,\G",2H,23603720,0.0006929024,3.15932793440198
soilN,Barley,"chr2H:102087655\A,\G",2H,102087655,0.0006932898,3.15908518929539
soilN,Barley,"chr5H:539920341\A,\G",5H,539920341,0.0006937996,3.15876595488001
soilN,Barley,"chr2H:363481192\G,\A",2H,363481192,0.0006938668,3.15872389204819
soilN,Barley,"chr5H:527185359\A,\G",5H,527185359,0.0006945143,3.15831880774184
soilN,Barley,"chr4H:16758744\T,\C",4H,16758744,0.000694691,3.15820832754807
soilN,Barley,"chr7H:605858045\T,\C",7H,605858045,0.0006960631,3.15735138863707
soilN,Barley,"chr7H:95631040\G,\C",7H,95631040,0.0006976737,3.15634764818347
soilN,Barley,"chr3H:592781067\G,\A",3H,592781067,0.0006978251,3.15625341351295
soilN,Barley,"chr6H:442782207\G,\A",6H,442782207,0.0006979793,3.15615745707466
soilN,Barley,"chr2H:414239524\G,\A",2H,414239524,0.0006989632,3.1555456890006
soilN,Barley,"chr6H:2303450\G,\C",6H,2303450,0.000701866,3.15374579529975
soilN,Barley,"chr7H:95688857\G,\C",7H,95688857,0.0007019765,3.15367742646158
soilN,Barley,"chr7H:613816262\G,\A",7H,613816262,0.0007022887,3.15348431943382
soilN,Barley,"chr7H:621971915\G,\A",7H,621971915,0.000703485,3.15274515833823
soilN,Barley,"chr7H:573844194\T,\C",7H,573844194,0.0007078168,3.15007913361612
soilN,Barley,"chr3H:501642271\G,\A",3H,501642271,0.0007109763,3.14814487599424
soilN,Barley,"chr5H:567673396\A,\C",5H,567673396,0.0007114638,3.14784719236143
soilN,Barley,"chr5H:567693636\T,\C",5H,567693636,0.0007132181,3.14677764386127
soilN,Barley,"chr3H:399114666\C,\T",3H,399114666,0.0007150843,3.1456427569867
soilN,Barley,"chr5H:13614527\A,\T",5H,13614527,0.0007157667,3.1452285103923
soilN,Barley,"chr4H:44306277\A,\G",4H,44306277,0.0007159496,3.1451175492177
soilN,Barley,"chr1H:502924520\C,\T",1H,502924520,0.0007160063,3.14508315640276
soilN,Barley,"chr1H:477443457\C,\T",1H,477443457,0.0007166003,3.14472301435534
soilN,Barley,"chr5H:38325960\C,\T",5H,38325960,0.0007173057,3.14429571807198
soilN,Barley,"chr2H:251312724\G,\A",2H,251312724,0.0007191277,3.14319398238358
soilN,Barley,"chr6H:69388440\T,\C",6H,69388440,0.0007200438,3.14264108479131
soilN,Barley,"chr7H:91289549\C,\A",7H,91289549,0.0007256055,3.13929943403699
soilN,Barley,"chr3H:545261250\T,\C",3H,545261250,0.0007263216,3.13887104020963
soilN,Barley,"chr2H:21159441\A,\G",2H,21159441,0.0007274428,3.13820115027471
soilN,Barley,"chr1H:36565729\A,\C",1H,36565729,0.0007274673,3.13818652364616
soilN,Barley,"chr1H:36565765\T,\A",1H,36565765,0.0007274673,3.13818652364616
soilN,Barley,"chr7H:613121146\T,\A",7H,613121146,0.000727908,3.13792350752375
soilN,Barley,"chr2H:299308783\C,\T",2H,299308783,0.0007301948,3.1365612641545
soilN,Barley,"chr7H:452550974\G,\A",7H,452550974,0.0007317907,3.13561311406825
soilN,Barley,"chr2H:570021946\G,\A",2H,570021946,0.0007337346,3.13446100084512
soilN,Barley,"chr7H:605806234\A,\C",7H,605806234,0.0007344669,3.13402777165217
soilN,Barley,"chr1H:382606475\G,\A",1H,382606475,0.0007364255,3.13287118171399
soilN,Barley,"chr1H:382606507\A,\T",1H,382606507,0.0007364255,3.13287118171399
soilN,Barley,"chr1H:14729161\T,\C",1H,14729161,0.0007364638,3.13284859552417
soilN,Barley,"chr4H:44312530\A,\G",4H,44312530,0.0007374044,3.13229427534121
soilN,Barley,"chr2H:653223553\C,\G",2H,653223553,0.000743429,3.12876050176286
soilN,Barley,"chr2H:452919802\G,\A",2H,452919802,0.0007437471,3.12857471465022
soilN,Barley,"chr1H:307712502\C,\G",1H,307712502,0.0007500507,3.12490937929359
soilN,Barley,"chr5H:13561463\G,\A",5H,13561463,0.0007508761,3.12443171882207
soilN,Barley,"chr4H:4982648\C,\T",4H,4982648,0.0007509466,3.12439094468676
soilN,Barley,"chr3H:461655190\G,\A",3H,461655190,0.000752065,3.12374462227886
soilN,Barley,"chr5H:37533433\A,\G",5H,37533433,0.000754465,3.12236090255431
soilN,Barley,"chr3H:19846058\G,\A",3H,19846058,0.0007545028,3.12233914419549
soilN,Barley,"chr3H:19846070\A,\G",3H,19846070,0.0007545028,3.12233914419549
soilN,Barley,"chr2H:25735852\G,\A",2H,25735852,0.0007566194,3.12112252743009
soilN,Barley,"chr5H:574353393\C,\A",5H,574353393,0.0007600129,3.11917903620438
soilN,Barley,"chr7H:17076289\C,\G",7H,17076289,0.0007622006,3.11793071368956
soilN,Barley,"chr2H:519562016\A,\G",2H,519562016,0.0007641206,3.11683809197262
soilN,Barley,"chr2H:207305922\T,\G",2H,207305922,0.0007666294,3.11541452970346
soilN,Barley,"chr7H:11289010\C,\T",7H,11289010,0.0007679505,3.11466677250713
soilN,Barley,"chr3H:549125162\T,\C",3H,549125162,0.0007682847,3.11447781548005
soilN,Barley,"chr3H:596068050\C,\T",3H,596068050,0.0007687298,3.11422628307187
soilN,Barley,"chr3H:345113382\A,\G",3H,345113382,0.0007705465,3.11320114788125
soilN,Barley,"chr2H:452919814\G,\T",2H,452919814,0.0007736484,3.11145636830018
soilN,Barley,"chr2H:190148640\G,\A",2H,190148640,0.000775399,3.11047476342007
soilN,Barley,"chr7H:555003613\C,\T",7H,555003613,0.0007793611,3.10826127480321
soilN,Barley,"chr6H:382993966\G,\A",6H,382993966,0.0007809749,3.1073629238265
soilN,Barley,"chr5H:450695401\T,\C",5H,450695401,0.0007811109,3.1072873017964
soilN,Barley,"chr3H:62112699\T,\C",3H,62112699,0.0007851203,3.10506379341615
soilN,Barley,"chr7H:573905369\C,\A",7H,573905369,0.0007851299,3.10505848314518
soilN,Barley,"chr5H:443171936\G,\A",5H,443171936,0.0007877765,3.1035969786837
soilN,Barley,"chr3H:22834319\A,\G",3H,22834319,0.0007879975,3.10347516035045
soilN,Barley,"chr2H:41006364\G,\T",2H,41006364,0.0007884405,3.10323107531755
soilN,Barley,"chr5H:38259990\G,\C",5H,38259990,0.0007892833,3.10276708608932
soilN,Barley,"chr2H:620670981\G,\A",2H,620670981,0.0007902615,3.10222917552609
soilN,Barley,"chr2H:519562001\A,\G",2H,519562001,0.000790497,3.1020997739113
soilN,Barley,"chr3H:261584758\A,\T",3H,261584758,0.0007916136,3.10148675317936
soilN,Barley,"chr1H:472080047\G,\A",1H,472080047,0.0007918703,3.10134594543957
soilN,Barley,"chr5H:37533382\A,\G",5H,37533382,0.0007997255,3.09705905587379
soilN,Barley,"chr2H:210755031\C,\T",2H,210755031,0.0007998168,3.09700947783357
soilN,Barley,"chr7H:482413078\G,\T",7H,482413078,0.0008009238,3.09640880078682
soilN,Barley,"chr7H:28397154\C,\G",7H,28397154,0.0008024751,3.09556843443757
soilN,Barley,"chr7H:89437657\C,\T",7H,89437657,0.0008034225,3.09505600993443
soilN,Barley,"chr7H:223432053\T,\C",7H,223432053,0.0008066798,3.09329881805192
soilN,Barley,"chr6H:201737258\G,\C",6H,201737258,0.000806732,3.09327071589974
soilN,Barley,"chr1H:381732834\A,\G",1H,381732834,0.0008090353,3.09203252874527
soilN,Barley,"chr3H:351969795\G,\A",3H,351969795,0.0008091111,3.09199184080535
soilN,Barley,"chr3H:351969801\G,\T",3H,351969801,0.0008091111,3.09199184080535
soilN,Barley,"chr2H:520655418\C,\T",2H,520655418,0.0008105008,3.09124655214747
soilN,Barley,"chr3H:512540264\T,\C",3H,512540264,0.0008114939,3.09071474041729
soilN,Barley,"chr7H:562492765\T,\G",7H,562492765,0.0008116964,3.09060638019232
soilN,Barley,"chr5H:51337221\G,\C",5H,51337221,0.0008132378,3.08978244317974
soilN,Barley,"chr5H:268764533\G,\A",5H,268764533,0.0008142808,3.08922580535497
soilN,Barley,"chr5H:268764543\C,\G",5H,268764543,0.0008142808,3.08922580535497
soilN,Barley,"chr5H:268764545\G,\T",5H,268764545,0.0008142808,3.08922580535497
soilN,Barley,"chr5H:268764560\A,\G",5H,268764560,0.0008142808,3.08922580535497
soilN,Barley,"chr5H:268764604\C,\A",5H,268764604,0.0008142808,3.08922580535497
soilN,Barley,"chr2H:90946938\T,\G",2H,90946938,0.0008184038,3.08703236278172
soilN,Barley,"chr3H:160134646\A,\G",3H,160134646,0.000822968,3.08461705141423
soilN,Barley,"chr2H:54710505\G,\A",2H,54710505,0.0008240363,3.0840536565766
soilN,Barley,"chr7H:614840364\G,\A",7H,614840364,0.0008264499,3.08278346854508
soilN,Barley,"chr3H:397552570\C,\T",3H,397552570,0.0008287685,3.08156676403726
soilN,Barley,"chr7H:616291891\C,\A",7H,616291891,0.0008339578,3.07885592501073
soilN,Barley,"chr3H:567290136\G,\A",3H,567290136,0.0008342265,3.07871601849286
soilN,Barley,"chr2H:40829588\T,\C",2H,40829588,0.0008357426,3.07792746013581
soilN,Barley,"chr4H:497731585\A,\T",4H,497731585,0.0008386849,3.07640117611419
soilN,Barley,"chr3H:50695855\G,\A",3H,50695855,0.0008391255,3.07617308102892
soilN,Barley,"chr5H:268764520\T,\C",5H,268764520,0.0008393898,3.07603631250198
soilN,Barley,"chr5H:268764554\A,\G",5H,268764554,0.0008393898,3.07603631250198
soilN,Barley,"chr1H:86932352\A,\C",1H,86932352,0.0008416593,3.07486367343332
soilN,Barley,"chr3H:403295576\G,\A",3H,403295576,0.0008458364,3.07271362921633
soilN,Barley,"chr6H:542571690\C,\T",6H,542571690,0.000847228,3.07199969968463
soilN,Barley,"chr1H:35010086\C,\T",1H,35010086,0.0008486317,3.0712807495221
soilN,Barley,"chr5H:154687869\T,\G",5H,154687869,0.0008510554,3.0700421683159
soilN,Barley,"chr3H:240870626\T,\G",3H,240870626,0.0008514076,3.06986247745777
soilN,Barley,"chr7H:57477000\C,\A",7H,57477000,0.0008556894,3.06768384787517
soilN,Barley,"chr5H:13888194\C,\T",5H,13888194,0.0008564051,3.06732075509168
soilN,Barley,"chr5H:39188075\C,\T",5H,39188075,0.0008577787,3.06662474218102
soilN,Barley,"chr7H:17594630\G,\T",7H,17594630,0.0008585218,3.06624867254791
soilN,Barley,"chr6H:489892258\C,\T",6H,489892258,0.0008623738,3.06430444636915
soilN,Barley,"chr3H:419153364\C,\G",3H,419153364,0.0008630797,3.06394909805999
soilN,Barley,"chr1H:273279252\C,\T",1H,273279252,0.0008633765,3.06379977645717
soilN,Barley,"chr5H:451916357\T,\A",5H,451916357,0.0008641313,3.06342026384854
soilN,Barley,"chr5H:451916378\T,\A",5H,451916378,0.0008641313,3.06342026384854
soilN,Barley,"chr5H:484363534\A,\C",5H,484363534,0.0008642615,3.06335483295615
soilN,Barley,"chr5H:414659466\T,\C",5H,414659466,0.0008646801,3.06314453588923
soilN,Barley,"chr7H:7799922\C,\T",7H,7799922,0.0008653645,3.06280092491074
soilN,Barley,"chr5H:581893528\A,\T",5H,581893528,0.0008675371,3.06171194364861
soilN,Barley,"chr4H:29281745\G,\A",4H,29281745,0.000868792,3.06108418680202
soilN,Barley,"chr2H:21345912\C,\T",2H,21345912,0.0008695356,3.06071263267558
soilN,Barley,"chr7H:95688901\T,\C",7H,95688901,0.0008710691,3.05994739199766
soilN,Barley,"chr3H:596405944\C,\T",3H,596405944,0.0008713323,3.0598161865148
soilN,Barley,"chr7H:65927170\C,\G",7H,65927170,0.0008730294,3.05897113081588
soilN,Barley,"chr6H:70439686\T,\C",6H,70439686,0.0008747287,3.05812662396376
soilN,Barley,"chr6H:387477021\C,\T",6H,387477021,0.0008759527,3.05751934438398
soilN,Barley,"chr3H:16343376\G,\C",3H,16343376,0.000876064,3.05746416571371
soilN,Barley,"chr2H:43828894\A,\G",2H,43828894,0.0008777678,3.0566203548408
soilN,Barley,"chr2H:5066624\T,\G",2H,5066624,0.0008782432,3.05638520414785
soilN,Barley,"chr4H:44324771\A,\G",4H,44324771,0.0008796333,3.05569833805101
soilN,Barley,"chr5H:13888155\G,\A",5H,13888155,0.0008797791,3.05562635932038
soilN,Barley,"chr2H:213201147\G,\A",2H,213201147,0.0008843958,3.05335332855506
soilN,Barley,"chr7H:452550947\G,\A",7H,452550947,0.0008862915,3.0524234157874
soilN,Barley,"chr2H:25735812\G,\A",2H,25735812,0.000886465,3.0523384068278
soilN,Barley,"chr2H:483450993\G,\A",2H,483450993,0.0008877496,3.05170951470963
soilN,Barley,"chr2H:483450999\G,\A",2H,483450999,0.0008877496,3.05170951470963
soilN,Barley,"chr2H:33073962\G,\A",2H,33073962,0.0008882605,3.0514596500755
soilN,Barley,"chr4H:7660578\C,\T",4H,7660578,0.0008916773,3.04979228933013
soilN,Barley,"chr3H:602647377\A,\G",3H,602647377,0.0008919006,3.04968354391641
soilN,Barley,"chr1H:442438426\G,\A",1H,442438426,0.0008923127,3.04948292579617
soilN,Barley,"chr3H:246304152\A,\T",3H,246304152,0.0008937402,3.04878870727115
soilN,Barley,"chr1H:12695065\C,\T",1H,12695065,0.0008944857,3.04842659803762
soilN,Barley,"chr7H:30380633\G,\A",7H,30380633,0.0009063827,3.04268839238367
soilN,Barley,"chr7H:25511096\C,\T",7H,25511096,0.0009070414,3.04237289002787
soilN,Barley,"chr4H:42161034\T,\C",4H,42161034,0.0009106108,3.04066720319037
soilN,Barley,"chr3H:72668308\G,\A",3H,72668308,0.0009131997,3.03943423985413
soilN,Barley,"chr3H:72668311\A,\G",3H,72668311,0.0009131997,3.03943423985413
soilN,Barley,"chr3H:574362586\G,\A",3H,574362586,0.000914024,3.03904240062205
