,sorghum_aridity_index
IS30092.MRG.4.250047625,2346
IS30095.D1EYBACXX.1.250138021,2370
IS30122.D1EYBACXX.1.250138022,4866
IS30145.D1EYBACXX.1.250138023,4508
IS30175.70MUKAAXX.1.250006391,4407
IS30205.D0D0HACXX.5.250046101,6129
IS30207.B064FABXX.1.250010024,6129
IS30213.D1EYBACXX.1.250138024,2783
IS30231.MRG.4.250047626,4429
IS30318.D1EYBACXX.1.250138025,5123
IS30319.D1EYBACXX.1.250138026,9594
IS30335.D0D0HACXX.5.250046102,3035
IS30359.D1EYBACXX.1.250138027,3551
IS30360.D1EYBACXX.1.250138028,3323
IS30371.D1EYBACXX.1.250138029,2978
IS30383.MRG.4.250047627,3015
IS30391.D1EYBACXX.1.250138030,3181
IS30397.D0D0HACXX.5.250046103,2933
IS30398.D1EYBACXX.1.250138031,4279
IS30400.MRG.4.250047628,4102
IS30401.D1EYBACXX.1.250138032,3063
IS30405.70MUKAAXX.1.250006399,3149
IS30407.D1EYBACXX.1.250138033,9073
IS30409.D0D0HACXX.5.250046104,3394
IS30417.70MUKAAXX.1.250006411,4328
IS30422.D1EYBACXX.1.250138034,3380
IS30436.70MUKAAXX.1.250006431,2992
IS30441.70MUKAAXX.1.250006443,3100
IS30443.70MUKAAXX.1.250006455,3102
IS30444.D1EYBACXX.1.250138035,14216
IS30450.MRG.4.250047631,2663
IS30451.70MUKAAXX.1.250006467,3037
IS30452.D1EYBACXX.1.250138036,2821
IS30455.D1EYBACXX.1.250138037,6959
IS30460.MRG.4.250047633,4102
IS30466.MRG.4.250047634,4250
IS30572.MRG.4.250047640,3741
IS30619.B064FABXX.1.250009957,1489
IS3073.628P7AAXX.7.250007019,1283
IS30748.B064FABXX.1.250009968,3027
IS3075.C1AB3ACXX.7.250137273,1381
IS30838.MRG.4.250047641,4101
IS30853.D1EYBACXX.1.250138038,4860
IS30855.D1EYBACXX.1.250138039,5896
IS30858.D1EYBACXX.1.250138040,6022
IS30860.D1EYBACXX.1.250138041,5893
IS30864.D1EYBACXX.1.250138042,7662
IS30867.D1EYBACXX.1.250138043,8373
IS30868.D1EYBACXX.1.250138044,8888
IS31043.MRG.4.250047642,4910
IS31179.B064FABXX.1.250010013,11682
IS31186.MRG.4.250047643,6662
IS31195.B064FABXX.1.250010025,5778
IS31202.B064FABXX.1.250009940,7850
IS3127.C1AB3ACXX.7.250137274,928
IS31299.B064FABXX.1.250009980,9754
IS31446.MRG.4.250047644,5789
IS31533.B064FABXX.1.250009958,5973
IS31557.MRG.4.250047645,7150
IS31559.70MUKAAXX.1.250006419,6975
IS31666.D1EYBACXX.1.250138045,10662
IS31706.MRG.4.250047648,2071
IS31714.MRG.4.250047649,1669
IS31852.B064FABXX.1.250009990,691
IS31861.B064FABXX.1.250010002,854
IS31869.D1EYBACXX.1.250138047,220
IS31965.D1EYBACXX.1.250138048,284
IS32050.B064FABXX.1.250010014,424
IS32087.B064FABXX.1.250010026,748
IS32092.B064FABXX.1.250009977,232
IS32150.D1EYBACXX.1.250138050,458
IS32245.MRG.4.250047650,1524
IS32262.D1EYBACXX.1.250138051,296
IS32337.D1EYBACXX.1.250138052,8173
IS32349.MRG.4.250047651,7490
IS32357.D1EYBACXX.1.250138053,6380
IS32370.D1EYBACXX.1.250138054,7072
IS32373.D1EYBACXX.1.250138055,8148
IS32401.D1EYBACXX.1.250138056,6758
IS32404.D1EYBACXX.1.250138057,6531
IS32405.D1EYBACXX.1.250138058,7053
IS32420.D1EYBACXX.1.250138059,5870
IS32425.D1EYBACXX.1.250138060,5963
IS32426.D1EYBACXX.1.250138061,5741
IS32439.MRG.4.250047652,5889
IS32449.D1EYBACXX.1.250138062,5278
IS32454.B064FABXX.1.250009959,4988
IS32459.D1EYBACXX.1.250138063,5221
IS32461.D1EYBACXX.1.250138064,7546
IS32471.D1EYBACXX.1.250138065,7521
IS32475.D1EYBACXX.1.250138066,6974
IS32506.D1EYBACXX.1.250138067,6813
IS32569.70MUKAAXX.1.250006400,1817
IS32571.D1EYBACXX.1.250138068,1862
IS32685.D1EYBACXX.1.250138069,1254
IS32754.MRG.4.250047697,2468
IS32986.B064FABXX.1.250009969,3473
IS33023.MRG.4.250047654,5166
IS33173.B064FABXX.1.250009991,1486
IS33178.B064FABXX.1.250010003,3215
IS33209.B064FABXX.1.250010015,2806
IS33242.D1EYBACXX.1.250138070,3395
IS33261.70MUKAAXX.1.250006427,3499
IS33716.D1EYBACXX.1.250138071,3922
IS33844.MRG.4.250047659,3058
IS33861.D1EYBACXX.1.250138072,3816
IS33973.D1EYBACXX.1.250138073,3185
IS33984.D1EYBACXX.1.250138074,2625
IS34008.D1EYBACXX.1.250138075,2757
IS34017.D1EYBACXX.1.250138076,3823
IS34029.D1EYBACXX.1.250138077,3307
IS34035.D1EYBACXX.1.250138078,3879
IS34067.D1EYBACXX.1.250138079,3969
IS34083.D1EYBACXX.1.250138080,3894
IS34139.D1EYBACXX.1.250138081,3308
IS34150.D1EYBACXX.1.250138082,3991
IS34219.D1EYBACXX.1.250138083,8987
IS34226.D1EYBACXX.1.250138084,1941
IS3443.70MUKAAXX.1.250006462,3004
IS3457.C1AB3ACXX.7.250137275,4110
IS34778.D1EYBACXX.1.250138085,9449
IS34781.D1EYBACXX.1.250138086,8848
IS34814.D1EYBACXX.1.250138087,6828
IS34840.D1EYBACXX.1.250138088,6343
IS34851.D1EYBACXX.1.250138089,7680
IS34860.D1EYBACXX.1.250138090,5857
IS34895.D1EYBACXX.1.250138091,8296
IS34901.D1EYBACXX.1.250138092,6622
IS34906.D1EYBACXX.1.250138093,7668
IS34908.D1EYBACXX.1.250138094,8573
IS34909.D1EYBACXX.1.250138095,7396
IS34913.D1EYBACXX.1.250138096,6820
IS34928.D1EYBACXX.1.250138097,6261
IS34938.D1EYBACXX.1.250138098,7574
IS34939.D1EYBACXX.1.250138099,6580
IS34947.D1EYBACXX.1.250138100,7497
IS34954.D1EYBACXX.1.250138101,5544
IS34965.D1EYBACXX.1.250138260,5996
IS34976.D1EYBACXX.1.250138261,9220
IS3507.70MUKAAXX.1.250006474,3004
IS3511.628P7AAXX.7.250007043,2517
IS35170.D1EYBACXX.1.250138262,1949
IS35214.D1EYBACXX.1.250138263,1514
IS35215.D1EYBACXX.1.250138264,1100
IS35218.D1EYBACXX.1.250138265,975
IS35222.D1EYBACXX.1.250138266,859
IS35225.D1EYBACXX.1.250138267,617
IS35229.D1EYBACXX.1.250138268,688
IS35230.D1EYBACXX.1.250138269,539
IS35231.D1EYBACXX.1.250138270,1050
IS35239.D1EYBACXX.1.250138271,1124
IS35240.D1EYBACXX.1.250138272,980
IS35244.D1EYBACXX.1.250138273,938
IS35246.D1EYBACXX.1.250138274,1380
IS35250.D1EYBACXX.1.250138275,3041
IS35254.D1EYBACXX.1.250138276,2569
IS35255.D1EYBACXX.1.250138277,5513
IS35427.D1EYBACXX.1.250138278,7016
IS35471.D1EYBACXX.1.250138279,2458
IS35475.D1EYBACXX.1.250138280,2450
IS35478.D1EYBACXX.1.250138281,2464
IS35480.D1EYBACXX.1.250138282,2322
IS35483.D1EYBACXX.1.250138283,2345
IS35503.D1EYBACXX.1.250138284,2462
IS35506.D1EYBACXX.1.250138285,2148
IS35507.D1EYBACXX.1.250138286,1789
IS35509.D1EYBACXX.1.250138287,2111
IS35510.D1EYBACXX.1.250138288,1966
IS35522.D1EYBACXX.1.250138289,1827
IS35526.D1EYBACXX.1.250138290,1869
IS35553.D1EYBACXX.1.250138291,2140
IS35567.D1EYBACXX.1.250138292,2538
IS35570.D1EYBACXX.1.250138293,2460
IS35574.D1EYBACXX.1.250138294,2249
IS35579.D1EYBACXX.1.250138296,2339
IS35602.D1EYBACXX.1.250138297,1565
IS35604.D1EYBACXX.1.250138298,1074
IS3582.C1AB3ACXX.7.250137276,104
IS3583.70MUKAAXX.1.250006387,3004
IS36052.D1EYBACXX.1.250138299,3390
IS36058.D1EYBACXX.1.250138300,3688
IS36060.D1EYBACXX.1.250138301,2942
IS36081.D1EYBACXX.1.250138302,3198
IS36088.D1EYBACXX.1.250138303,4253
IS36100.D1EYBACXX.1.250138304,11988
IS36102.D1EYBACXX.1.250138305,14737
IS36239.D1EYBACXX.1.250138306,3526
IS36247.D1EYBACXX.1.250138307,3941
IS36317.D1EYBACXX.1.250138308,2544
IS36324.D1EYBACXX.1.250138309,2657
IS36329.D1EYBACXX.1.250138310,3199
IS36336.D1EYBACXX.1.250138311,2831
IS36342.D1EYBACXX.1.250138312,3263
IS36398.D1EYBACXX.1.250138313,5179
IS36401.D1EYBACXX.1.250138314,5793
IS36403.D1EYBACXX.1.250138315,4937
IS36404.D1EYBACXX.1.250138316,4444
IS36450.D1EYBACXX.1.250138317,10706
IS36452.D1EYBACXX.1.250138318,9005
IS3696.C1AB3ACXX.7.250137277,20301
IS37124.D1EYBACXX.1.250138319,3215
IS37125.D1EYBACXX.1.250138320,3799
IS37127.D1EYBACXX.1.250138321,3602
IS37128.D1EYBACXX.1.250138322,3181
IS37129.D1EYBACXX.1.250138323,3332
IS37133.D1EYBACXX.1.250138324,3780
IS37134.D1EYBACXX.1.250138325,4223
IS37135.D1EYBACXX.1.250138326,4865
IS37136.D1EYBACXX.1.250138327,3159
IS37140.D1EYBACXX.1.250138328,4217
IS37146.D1EYBACXX.1.250138329,2262
IS37203.D1EYBACXX.1.250138330,3823
IS37234.D1EYBACXX.1.250138331,3202
IS37569.D1EYBACXX.1.250138332,3017
IS3762.C1AB3ACXX.7.250137278,12727
IS37746.D1EYBACXX.1.250138333,9276
IS37978.D1EYBACXX.1.250138334,800
IS38021.D1EYBACXX.1.250138335,11044
IS38026.D1EYBACXX.1.250138336,3023
IS38159.D1EYBACXX.1.250138337,550
IS38683.D1EYBACXX.1.250138338,4082
IS3885.70MUKAAXX.1.250006439,3579
IS3905.628P7AAXX.7.250007091,3579
IS39453.D1EYBACXX.1.250138339,7089
IS39462.D1EYBACXX.1.250138340,3552
IS39463.D1EYBACXX.1.250138341,4346
IS39474.D1EYBACXX.1.250138342,7459
IS39496.D1EYBACXX.1.250138343,6207
IS39525.D1EYBACXX.1.250138344,7175
IS39672.D1EYBACXX.1.250138345,4887
IS39677.D1EYBACXX.1.250138346,6255
IS39713.D1EYBACXX.1.250138347,7730
IS39764.D1EYBACXX.1.250138348,1890
IS39778.D1EYBACXX.1.250138349,2357
IS39780.D1EYBACXX.1.250138350,1771
IS39783.D1EYBACXX.1.250138351,5946
IS39791.D1EYBACXX.1.250138352,3162
IS39797.D1EYBACXX.1.250138353,1275
IS39809.D1EYBACXX.1.250138354,4791
IS39810.D1EYBACXX.1.250138355,4268
IS39814.D1EYBACXX.8.250140165,3255
IS39815.D1EYBACXX.8.250140166,2816
IS39819.D1EYBACXX.8.250140167,2456
IS39913.D1EYBACXX.8.250140168,8017
IS39915.D1EYBACXX.8.250140169,7716
IS40005.D1EYBACXX.8.250140170,8490
IS4003.C1AB3ACXX.7.250137279,2735
IS40033.D1EYBACXX.8.250140171,7938
IS40034.D1EYBACXX.8.250140172,7281
IS40036.D1EYBACXX.8.250140173,8178
IS40215.D1EYBACXX.8.250140174,4343
IS4027.628NVAAXX.5.250006941,2442
IS40272.D1EYBACXX.8.250140175,3373
IS40306.D1EYBACXX.8.250140176,2723
IS40307.D1EYBACXX.8.250140177,2844
IS40324.D1EYBACXX.8.250140178,3645
IS40325.D1EYBACXX.8.250140179,3075
IS40329.D1EYBACXX.8.250140180,3196
IS4035.70MUKAAXX.1.250006451,2442
IS40373.D1EYBACXX.8.250140181,11584
IS4060.D0D0HACXX.5.250046298,3183
IS4064.C1AB3ACXX.7.250137280,3581
IS40729.D1EYBACXX.8.250140182,2330
IS40730.D1EYBACXX.8.250140183,2930
IS40757.D1EYBACXX.8.250140184,3141
IS40771.D1EYBACXX.8.250140185,3915
IS40791.D1EYBACXX.8.250140186,4640
IS40803.D1EYBACXX.8.250140187,2375
IS40819.D1EYBACXX.8.250140188,2168
IS40822.D1EYBACXX.8.250140189,2398
IS40824.D1EYBACXX.8.250140190,2195
IS40841.D1EYBACXX.8.250140191,2565
IS4092.D0D0HACXX.5.250046299,2852
IS4112.70MUKAAXX.1.250006463,2852
IS4127.C1AB3ACXX.7.250137281,3173
IS4207.C1AB3ACXX.7.250137282,3980
IS4246.C1AB3ACXX.7.250137283,5682
IS4248.C1AB3ACXX.7.250137284,6769
IS4254.C1AB3ACXX.7.250137285,5298
IS4269.C1AB3ACXX.7.250137286,5481
IS4277.C1AB3ACXX.7.250137287,7833
IS4285.628NVAAXX.5.250006965,5133
IS4307.C1AB3ACXX.7.250137288,3191
IS4308.C1AB3ACXX.7.250137289,5272
IS4332.C1AB3ACXX.7.250137290,4167
IS4339.C1AB3ACXX.7.250137291,4022
IS4347.C1AB3ACXX.7.250137292,4071
IS4360.D0D0HACXX.5.250046300,3991
IS4372.D0D0HACXX.5.250046301,3956
IS4378.C1AB3ACXX.7.250137293,4167
IS4405.C1AB3ACXX.7.250137294,5022
IS4416.C1AB3ACXX.7.250137295,4450
IS4489.C1AB3ACXX.7.250137296,3596
IS4515.D0D0HACXX.5.250046302,3034
IS4543.C1AB3ACXX.7.250137297,3076
IS4581.D0D0HACXX.5.250046303,3567
IS4613.D0D0HACXX.5.250046304,3567
IS4631.D0D0HACXX.5.250046305,3567
IS4698.D0D0HACXX.5.250046306,3914
IS4726.70MUKAAXX.1.250006475,2177
IS4734.C1AB3ACXX.7.250137298,2607
IS4758.C1AB3ACXX.7.250137299,2159
IS4776.70MUKAAXX.1.250006388,3821
IS4788.C1AB3ACXX.7.250137300,2410
IS4798.C1AB3ACXX.7.250137301,2546
IS4809.C1AB3ACXX.7.250137302,3424
IS4821.628P7AAXX.7.250007021,3698
IS4855.C1AB3ACXX.7.250137303,2682
IS4951.D0D0HACXX.5.250046307,3386
IS4963.628P7AAXX.7.250007045,3386
IS5094.D0D0HACXX.5.250046308,2241
IS5106.70MUKAAXX.1.250006397,3081
IS5125.C1AB3ACXX.7.250137304,3428
IS5134.C1AB3ACXX.7.250137305,4936
IS5139.C1AB3ACXX.7.250137306,4188
IS5158.C1AB3ACXX.7.250137307,5056
IS5166.C1AB3ACXX.7.250137308,4761
IS5177.C1AB3ACXX.7.250137310,5074
IS5194.C1AB3ACXX.7.250137311,4894
IS5219.C1AB3ACXX.7.250137312,3698
IS5233.C1AB3ACXX.7.250137313,3725
IS5257.C1AB3ACXX.7.250137314,4761
IS5282.C1AB3ACXX.7.250137315,4176
IS5290.C1AB3ACXX.7.250137316,0
IS5295.D0D0HACXX.5.250046309,9361
IS5301.D0D0HACXX.5.250046310,6603
IS5313.C1AB3ACXX.7.250137317,6735
IS5325.C1AB3ACXX.7.250137318,7211
IS5326.C1AB3ACXX.7.250137319,7378
IS5328.C1AB3ACXX.7.250137320,7608
IS5335.C1AB3ACXX.7.250137321,7190
IS5339.C1AB3ACXX.7.250137322,7472
IS5348.C1AB3ACXX.7.250137323,9114
IS5386.D0D0HACXX.5.250046311,4498
IS5404.C1AB3ACXX.7.250137324,4481
IS5409.C1AB3ACXX.7.250137325,3610
IS5456.C1AB3ACXX.7.250137326,16269
IS5464.C1AB3ACXX.7.250137327,16204
IS5469.C1AB3ACXX.7.250137328,7613
IS5491.C1AB3ACXX.7.250137329,4852
IS5499.C1AB3ACXX.7.250137330,3422
IS5622.70MUKAAXX.1.250006408,4020
IS5667.D0D0HACXX.5.250046312,5411
IS5689.C1AB3ACXX.7.250137331,6349
IS5720.70MUKAAXX.1.250006418,6196
IS5788.C1AB3ACXX.7.250137332,5766
IS5804.C1AB3ACXX.7.250137333,5620
IS5815.C1AB3ACXX.7.250137334,4280
IS5818.C1AB3ACXX.7.250137335,6301
IS5824.C1AB3ACXX.7.250137336,6233
IS5832.C1AB3ACXX.7.250137337,6174
IS5839.C1AB3ACXX.7.250137338,5348
IS5855.C1AB3ACXX.7.250137339,5232
IS5867.628P7AAXX.7.250007069,5407
IS5900.C1AB3ACXX.7.250137371,6116
IS5910.70MUKAAXX.1.250006440,6646
IS5919.D0D0HACXX.5.250046313,5662
IS5928.C1AB3ACXX.7.250137372,5105
IS5972.628P7AAXX.7.250007093,5085
IS5980.C1AB3ACXX.7.250137373,5806
IS5995.C1AB3ACXX.7.250137374,4934
IS6004.C1AB3ACXX.7.250137375,7683
IS6024.C1AB3ACXX.7.250137376,3735
IS6035.C1AB3ACXX.7.250137377,3993
IS6094.D0D0HACXX.5.250046075,4076
IS6095.C1AB3ACXX.7.250137378,4119
IS6099.C1AB3ACXX.7.250137379,3991
IS6106.C1AB3ACXX.7.250137380,4514
IS6116.C1AB3ACXX.7.250137381,5051
IS6146.C1AB3ACXX.7.250137382,5198
IS6150.C1AB3ACXX.7.250137383,4728
IS6152.C1AB3ACXX.7.250137384,4926
IS6154.70MUKAAXX.1.250006452,6311
IS6165.C1AB3ACXX.7.250137385,5937
IS6169.C1AB3ACXX.7.250137386,3700
IS6191.C1AB3ACXX.7.250137387,5069
IS6192.C1AB3ACXX.7.250137388,5975
IS6193.628NVAAXX.5.250006895,4503
IS6203.C1AB3ACXX.7.250137389,6675
IS6206.C1AB3ACXX.7.250137390,5702
IS6208.C1AB3ACXX.7.250137392,5857
IS6210.C1AB3ACXX.7.250137393,3042
IS6215.C1AB3ACXX.7.250137394,1927
IS6222.C1AB3ACXX.7.250137395,4462
IS6227.C1AB3ACXX.7.250137396,5239
IS6230.C1AB3ACXX.7.250137397,6662
IS6236.C1AB3ACXX.7.250137398,9713
IS6243.C1AB3ACXX.7.250137399,8169
IS6245.C1AB3ACXX.7.250137400,6782
IS6249.C1AB3ACXX.7.250137401,7577
IS6255.C1AB3ACXX.7.250137402,7767
IS6259.C1AB3ACXX.7.250137403,7885
IS6266.C1AB3ACXX.7.250137404,19602
IS6269.C1AB3ACXX.7.250137405,11506
IS6276.C1AB3ACXX.7.250137406,5685
IS6282.C1AB3ACXX.7.250137407,2962
IS6294.C1AB3ACXX.7.250137408,1970
IS6321.C1AB3ACXX.7.250137409,2394
IS6329.C1AB3ACXX.7.250137410,4238
IS6331.C1AB3ACXX.7.250137411,2645
IS6351.628NVAAXX.5.250006919,5411
IS6354.D0D0HACXX.5.250046315,5411
IS6413.B064FABXX.1.250009961,5250
IS6421.D0D0HACXX.5.250046316,3914
IS7069.C1AB3ACXX.7.250137412,81
IS7277.70MUKAAXX.2.250006045,7171
IS7304.C1AB3ACXX.7.250137413,1851
IS7305.D0D0HACXX.5.250046319,2330
IS7310.D0D0HACXX.5.250046320,2620
IS7312.C1AB3ACXX.7.250137414,1179
IS7314.70MUKAAXX.2.250006028,2168
IS7343.C1AB3ACXX.7.250137415,1867
IS7348.C1AB3ACXX.7.250137416,1372
IS7360.C1AB3ACXX.7.250137417,2349
IS7367.C1AB3ACXX.7.250137418,9466
IS7386.C1AB3ACXX.7.250137419,4339
IS7389.C1AB3ACXX.7.250137420,5188
IS7403.C1AB3ACXX.7.250137421,10570
IS7408.C1AB3ACXX.7.250137422,8658
IS7411.C1AB3ACXX.7.250137423,7293
IS7418.C1AB3ACXX.7.250137424,22247
IS7419.C1AB3ACXX.7.250137425,9898
IS7424.C1AB3ACXX.7.250137426,6509
IS7428.C1AB3ACXX.7.250137427,7214
IS7447.C1AB3ACXX.7.250137428,2607
IS7463.D0D0HACXX.5.250046078,4543
IS7469.C1AB3ACXX.7.250137429,8463
IS7480.C1AB3ACXX.7.250137430,13237
IS7486.C1AB3ACXX.7.250137431,8633
IS7490.C1AB3ACXX.7.250137432,2460
IS7492.C1AB3ACXX.7.250137433,1206
IS7506.C1AB3ACXX.7.250137434,10168
IS7508.C1AB3ACXX.7.250137435,5765
IS7535.C1AB3ACXX.7.250137436,3179
IS7620.D0D0HACXX.5.250046079,6005
IS7643.C1AB3ACXX.7.250137437,6218
IS7679.D0D0HACXX.5.250046321,4904
IS7689.C1AB3ACXX.7.250137438,3805
IS7696.C1AB3ACXX.7.250137439,5469
IS7702.C1AB3ACXX.7.250137440,4873
IS7704.C1AB3ACXX.7.250137441,5989
IS7722.70MUKAAXX.2.250006048,2404
IS7763.C1AB3ACXX.7.250137442,7401
IS7773.C1AB3ACXX.7.250137443,5133
IS7792.C1AB3ACXX.7.250137444,10016
IS7802.C1AB3ACXX.7.250137445,3630
IS7806.C1AB3ACXX.7.250137446,16329
IS7812.C1AB3ACXX.7.250137447,6571
IS7825.C1AB3ACXX.7.250137448,7114
IS7834.C1AB3ACXX.7.250137449,15988
IS7835.C1AB3ACXX.7.250137450,5833
IS7836.C1AB3ACXX.7.250137451,11123
IS7843.C1AB3ACXX.7.250137452,6736
IS7845.C1AB3ACXX.7.250137453,10179
IS7849.C1AB3ACXX.7.250137454,6770
IS7861.628P7AAXX.7.250007023,6533
IS7887.C1AB3ACXX.7.250137455,4292
IS7889.628P7AAXX.7.250007047,4827
IS7892.C1AB3ACXX.7.250137456,20063
IS7920.C1AB3ACXX.7.250137457,2274
IS7923.C1AB3ACXX.7.250137458,3065
IS7948.C1AB3ACXX.7.250137459,3844
IS7957.D0D0HACXX.5.250046322,3724
IS7958.D0D0HACXX.5.250046080,3613
IS7987.D0D0HACXX.5.250046323,3613
IS7995.C1AB3ACXX.7.250137460,3345
IS8310.C1AB3ACXX.7.250137461,1157
IS8777.D0D0HACXX.5.250046327,6944
IS8861.C1AB3ACXX.7.250137462,4670
IS8916.D0D0HACXX.5.250046328,9683
IS9108.D0D0HACXX.5.250046329,6617
IS9113.D0D0HACXX.5.250046330,6617
IS9115.C1AB3ACXX.7.250137463,7260
IS9597.70MUKAAXX.2.250006029,1581
IS962.C1AB3ACXX.7.250137244,7403
IS9713.70MUKAAXX.2.250006049,2886
IS9720.C1AB3ACXX.7.250137464,1074
IS9745.D0D0HACXX.5.250046332,2181
IS9830.70MUKAAXX.1.250006404,2463
IS9883.70MUKAAXX.2.250006061,2463
IS9911.70MUKAAXX.2.250006073,2546
PI151198.D1G0BACXX.7.250130017,5512
PI155541.D1G0BACXX.7.250130029,4503
PI213900.D1G0BACXX.7.250130041,4010
PI267621.D1G0BACXX.7.250130053,7434
PI285039.D1G0BACXX.7.250129930,4952
PI285042.D1G0BACXX.7.250130077,4952
PI329252.D1G0BACXX.7.250129882,6711
PI329256.D1G0BACXX.7.250130089,2278
PI329285.D1G0BACXX.7.250130006,2692
PI329286.D1G0BACXX.7.250130018,2692
PI329299.D1G0BACXX.7.250130030,2764
PI329300.D1G0BACXX.7.250130042,2764
PI329301.D1G0BACXX.7.250130054,2764
PI329310.D1G0BACXX.7.250130066,4021
PI329311.D1G0BACXX.7.250130078,1817
PI329312.D1G0BACXX.7.250130090,1817
PI329316.D1G0BACXX.7.250130007,5503
PI329318.D1G0BACXX.7.250130019,6025
PI329319.D1G0BACXX.7.250130031,7151
PI329320.D1G0BACXX.7.250130043,7151
PI329325.D1G0BACXX.7.250130055,7382
PI329326.D1G0BACXX.7.250130067,7382
PI329333.D1G0BACXX.7.250130079,7225
PI329338.D1G0BACXX.7.250129895,3702
PI329351.D1G0BACXX.7.250130008,4151
PI329394.D1G0BACXX.7.250130020,4638
PI329403.D1G0BACXX.7.250130032,5784
PI329442.D1G0BACXX.7.250130044,2278
PI329465.D1G0BACXX.7.250130056,6350
PI329466.D1G0BACXX.7.250130068,6350
PI329470.D1G0BACXX.7.250130080,4716
PI329471.D1G0BACXX.7.250130092,4716
PI329473.D1G0BACXX.7.250130009,4725
PI329475.D1G0BACXX.7.250130021,9838
PI329476.D1G0BACXX.7.250130033,6747
PI329477.D1G0BACXX.7.250130045,6747
PI329478.D1G0BACXX.7.250130057,9838
PI329480.D1G0BACXX.7.250130069,5223
PI329501.D1G0BACXX.7.250130081,6562
PI329504.D1G0BACXX.7.250130093,6562
PI329506.D1G0BACXX.7.250130010,6562
PI329510.D1G0BACXX.7.250130022,4307
PI329511.D1G0BACXX.7.250130034,4307
PI329517.D1G0BACXX.7.250130046,4892
PI329518.D1G0BACXX.7.250130058,5958
PI329519.D1G0BACXX.7.250130070,5958
PI329540.D1G0BACXX.7.250130082,6861
PI329541.D1G0BACXX.7.250130094,6861
PI329545.D1G0BACXX.7.250130011,6518
PI329546.D1G0BACXX.7.250129919,6518
PI329550.D1G0BACXX.7.250130035,9203
PI329551.D1G0BACXX.7.250130047,9203
PI329554.D1G0BACXX.7.250130059,9203
PI329556.D1G0BACXX.7.250130071,6519
PI329569.D1G0BACXX.7.250130083,5836
PI329570.D1G0BACXX.7.250130095,10023
PI329572.D1G0BACXX.7.250130012,10023
PI329583.D1G0BACXX.7.250130024,7064
PI329584.D1G0BACXX.7.250130036,7064
PI329585.D1G0BACXX.7.250130048,7064
PI329605.D1G0BACXX.7.250130060,5644
PI329606.D1G0BACXX.7.250130072,5644
PI329614.D1G0BACXX.7.250130084,6656
PI329615.D1G0BACXX.7.250130096,6656
PI329617.D1G0BACXX.7.250130013,6775
PI329618.D1G0BACXX.7.250130025,6775
PI329632.D1G0BACXX.7.250130037,11385
PI329644.D1G0BACXX.7.250130049,9666
PI329645.D1G0BACXX.7.250130061,11526
PI329646.D1G0BACXX.7.250130073,11526
PI329665.D1G0BACXX.7.250130085,5254
PI329673.D1G0BACXX.7.250130097,5254
PI329699.D1G0BACXX.7.250130014,10997
PI329700.D1G0BACXX.7.250130026,5310
PI329702.D1G0BACXX.7.250130038,6234
PI329704.D1G0BACXX.7.250130050,6234
PI329710.D1G0BACXX.7.250130062,6108
PI329711.D1G0BACXX.7.250130074,6108
PI329813.D1G0BACXX.7.250130086,3305
PI329814.D1G0BACXX.7.250130098,3305
PI329841.D1G0BACXX.7.250130015,6321
PI329843.D1G0BACXX.7.250130039,7440
PI329848.D1G0BACXX.7.250130051,6822
PI329849.D1G0BACXX.7.250130063,6822
PI329864.D1G0BACXX.7.250130075,6692
PI329865.D1G0BACXX.7.250130087,6692
PI329920.D1G0BACXX.7.250130099,4907
PI330167.D1G0BACXX.7.250129931,5054
PI330168.D1G0BACXX.7.250130028,5054
PI330169.D1G0BACXX.7.250129943,5054
PI330170.D1G0BACXX.7.250130052,5054
PI330181.D1G0BACXX.7.250130064,3908
PI330182.D1G0BACXX.7.250130076,3908
PI330184.D1EYBACXX.8.250140257,3833
PI330185.D1G0BACXX.7.250130100,3833
PI330192.D1G0BACXX.7.250130132,3170
PI330195.D1G0BACXX.7.250130144,3003
PI330196.D1G0BACXX.7.250130156,2956
PI330199.D1G0BACXX.7.250130168,2876
PI330271.D1G0BACXX.7.250129918,3702
PI330796.D1G0BACXX.7.250130180,7907
PI330798.D1G0BACXX.7.250130192,6836
PI330803.D1G0BACXX.7.250130204,7289
PI330804.D1G0BACXX.7.250130216,7289
PI330807.D1G0BACXX.7.250130133,7184
PI330828.D1EYBACXX.8.250140258,11218
PI330833.D1G0BACXX.7.250130157,10633
PI330834.D1G0BACXX.7.250130169,10633
PI330835.D1G0BACXX.7.250130181,11218
PI330838.D1G0BACXX.7.250130193,7978
PI330847.D1G0BACXX.7.250130205,7978
PI330851.D1G0BACXX.7.250130217,10099
PI330857.D1G0BACXX.7.250130134,10099
PI330858.D1G0BACXX.7.250130146,3384
PI330867.D1G0BACXX.7.250130158,3384
PI337674.D1G0BACXX.7.250130170,5468
PI337676.D1G0BACXX.7.250130182,4052
PI337678.D1G0BACXX.7.250130194,5084
PI337680.D1G0BACXX.7.250130206,5622
PI337684.D1G0BACXX.7.250130218,10710
PI337685.D1G0BACXX.7.250130135,5622
PI337688.D1G0BACXX.7.250130147,4052
PI337689.D1G0BACXX.7.250130159,6281
PI510907.D1G0BACXX.7.250130171,2013
PI510910.D1G0BACXX.7.250130183,1990
PI510911.D1G0BACXX.7.250130195,1990
PI510925.D1G0BACXX.7.250130207,2026
PI510926.D1G0BACXX.7.250130219,2026
