,maize_aridity_index
SEEDGWAS1840:MRG:4:250063056,3142
SEEDGWAS1841:MRG:4:250063057,9248
SEEDGWAS1842:MRG:4:250063058,8445
SEEDGWAS1844:MRG:4:250063060,11859
SEEDGWAS1845:MRG:4:250063061,11859
SEEDGWAS1846:MRG:4:250063062,8778
SEEDGWAS1847:MRG:4:250063063,9261
SEEDGWAS1848:MRG:4:250063064,6833
SEEDGWAS185:MRG:4:250056144,12903
SEEDGWAS1851:MRG:4:250063067,10660
SEEDGWAS1852:MRG:4:250063068,9511
SEEDGWAS1854:MRG:4:250063070,8778
SEEDGWAS1855:MRG:4:250063071,10660
SEEDGWAS1856:MRG:4:250063072,10660
SEEDGWAS1857:MRG:4:250063073,11135
SEEDGWAS1858:MRG:4:250063074,11135
SEEDGWAS186:MRG:4:250056145,15524
SEEDGWAS1864:MRG:4:250063079,10660
SEEDGWAS1866:MRG:4:250063080,7295
SEEDGWAS1867:MRG:4:250063081,7295
SEEDGWAS1868:MRG:4:250063082,7295
SEEDGWAS1869:MRG:4:250063083,4922
SEEDGWAS187:MRG:4:250056146,10746
SEEDGWAS1870:MRG:4:250063084,10442
SEEDGWAS188:MRG:4:250056147,16667
SEEDGWAS1884:MRG:4:250063096,9100
SEEDGWAS1885:MRG:4:250063097,9367
SEEDGWAS1887:MRG:4:250063098,7236
SEEDGWAS1888:MRG:4:250063099,8662
SEEDGWAS1889:MRG:4:250063100,20156
SEEDGWAS1890:MRG:4:250063101,19267
SEEDGWAS1891:MRG:4:250063102,9269
SEEDGWAS1894:MRG:4:250063104,6051
SEEDGWAS1895:MRG:4:250063105,10676
SEEDGWAS1898:MRG:4:250063106,8435
SEEDGWAS1899:MRG:4:250063107,9497
SEEDGWAS190:MRG:4:250056148,18168
SEEDGWAS1903:MRG:4:250063110,13505
SEEDGWAS1904:MRG:4:250063111,13505
SEEDGWAS1905:MRG:4:250063112,4536
SEEDGWAS1906:MRG:4:250063144,10015
SEEDGWAS1907:MRG:4:250063145,10737
SEEDGWAS1908:MRG:4:250063146,7731
SEEDGWAS1909:MRG:4:250063147,10168
SEEDGWAS191:MRG:4:250056149,18267
SEEDGWAS1910:MRG:4:250063148,8734
SEEDGWAS1914:MRG:4:250063152,7325
SEEDGWAS1917:MRG:4:250063155,12000
SEEDGWAS1918:MRG:4:250063156,12070
SEEDGWAS1919:MRG:4:250063157,12347
SEEDGWAS192:MRG:4:250056150,17498
SEEDGWAS1920:MRG:4:250063158,12432
SEEDGWAS1921:MRG:4:250063159,12284
SEEDGWAS1922:MRG:4:250063160,12241
SEEDGWAS1923:MRG:4:250063161,12718
SEEDGWAS1924:MRG:4:250063162,12234
SEEDGWAS1925:MRG:4:250068669,12241
SEEDGWAS1926:MRG:4:250063163,12240
SEEDGWAS1927:MRG:4:250063164,12228
SEEDGWAS1929:MRG:4:250063165,12240
SEEDGWAS193:MRG:4:250056151,14020
SEEDGWAS1931:MRG:4:250063167,12535
SEEDGWAS1934:MRG:4:250068671,12432
SEEDGWAS1935:MRG:4:250063169,12241
SEEDGWAS1936:MRG:4:250063170,12368
SEEDGWAS1937:MRG:4:250068672,11016
SEEDGWAS1938:MRG:4:250063171,11516
SEEDGWAS1939:MRG:4:250063172,10995
SEEDGWAS194:MRG:4:250056152,13916
SEEDGWAS1940:MRG:4:250063173,12241
SEEDGWAS1941:MRG:4:250063174,12228
SEEDGWAS1942:MRG:4:250063175,12240
SEEDGWAS1943:MRG:4:250063176,12199
SEEDGWAS1944:MRG:4:250063177,12241
SEEDGWAS1945:MRG:4:250063178,11859
SEEDGWAS1946:MRG:4:250068673,12241
SEEDGWAS1947:MRG:4:250063179,12241
SEEDGWAS1948:MRG:4:250063181,11862
SEEDGWAS1949:MRG:4:250063182,11862
SEEDGWAS195:MRG:4:250056153,9887
SEEDGWAS1950:MRG:4:250068674,11862
SEEDGWAS1951:MRG:4:250063183,12344
SEEDGWAS1952:MRG:4:250063184,12166
SEEDGWAS1953:MRG:4:250063185,11862
SEEDGWAS1954:MRG:4:250063186,12432
SEEDGWAS1955:MRG:4:250063187,12361
SEEDGWAS1956:MRG:4:250063188,12250
SEEDGWAS1957:MRG:4:250068675,14761
SEEDGWAS1958:MRG:4:250063189,12347
SEEDGWAS1959:MRG:4:250063190,12241
SEEDGWAS196:MRG:4:250056154,9590
SEEDGWAS1960:MRG:4:250063191,8373
SEEDGWAS1961:MRG:4:250063192,11016
SEEDGWAS1963:MRG:4:250063193,16061
SEEDGWAS1964:MRG:4:250063194,7522
SEEDGWAS1965:MRG:4:250063195,8848
SEEDGWAS1966:MRG:4:250063196,12308
SEEDGWAS1967:MRG:4:250063197,8919
SEEDGWAS1968:MRG:4:250063198,12348
SEEDGWAS1969:MRG:4:250063199,11810
SEEDGWAS197:MRG:4:250056155,7128
SEEDGWAS1970:MRG:4:250063200,8652
SEEDGWAS1972:MRG:4:250063201,9627
SEEDGWAS1974:MRG:4:250063202,10643
SEEDGWAS1975:MRG:4:250063203,7964
SEEDGWAS1976:MRG:4:250063204,8940
SEEDGWAS1977:MRG:4:250063205,8107
SEEDGWAS1978:MRG:4:250063206,9485
SEEDGWAS1979:MRG:4:250063207,9485
SEEDGWAS198:MRG:4:250056156,6344
SEEDGWAS1980:MRG:4:250063208,8221
SEEDGWAS1981:MRG:4:250063209,8244
SEEDGWAS1982:MRG:4:250063210,8244
SEEDGWAS1983:MRG:4:250063211,12348
SEEDGWAS1984:MRG:4:250063212,10589
SEEDGWAS1985:MRG:4:250063213,8013
SEEDGWAS1986:MRG:4:250063214,8295
SEEDGWAS1987:MRG:4:250063215,8085
SEEDGWAS1988:MRG:4:250063216,7739
SEEDGWAS1989:MRG:4:250063217,10269
SEEDGWAS1990:MRG:4:250063219,9869
SEEDGWAS1991:MRG:4:250063220,9476
SEEDGWAS1992:MRG:4:250063221,9476
SEEDGWAS1993:MRG:4:250063222,10559
SEEDGWAS1994:MRG:4:250063223,11446
SEEDGWAS1995:MRG:4:250063224,8435
SEEDGWAS1996:MRG:4:250063225,8231
SEEDGWAS1998:MRG:4:250063226,11810
SEEDGWAS1999:MRG:4:250063227,8053
SEEDGWAS2000:MRG:4:250063228,10640
SEEDGWAS2001:MRG:4:250063229,10956
SEEDGWAS2003:MRG:4:250063230,14793
SEEDGWAS2004:MRG:4:250063231,5666
SEEDGWAS2005:MRG:4:250063232,9485
SEEDGWAS2006:MRG:4:250063233,6393
SEEDGWAS2007:MRG:4:250063234,8029
SEEDGWAS2008:MRG:4:250063235,10657
SEEDGWAS2009:MRG:4:250063237,11470
SEEDGWAS2010:MRG:4:250063238,11470
SEEDGWAS2011:MRG:4:250063239,12240
SEEDGWAS2012:MRG:4:250068676,12432
SEEDGWAS2014:MRG:4:250062129,12240
SEEDGWAS2015:MRG:4:250062130,12432
SEEDGWAS2016:MRG:4:250062131,12432
SEEDGWAS2017:MRG:4:250062132,7588
SEEDGWAS2018:MRG:4:250062133,8805
SEEDGWAS202:MRG:4:250056157,11742
SEEDGWAS2022:MRG:4:250062135,12397
SEEDGWAS2024:MRG:4:250062136,14761
SEEDGWAS2025:MRG:4:250062137,12249
SEEDGWAS2026:MRG:4:250062138,12397
SEEDGWAS2027:MRG:4:250062139,12344
SEEDGWAS2028:MRG:4:250062140,11622
SEEDGWAS2029:MRG:4:250062141,8395
SEEDGWAS203:MRG:4:250056158,11742
SEEDGWAS2031:MRG:4:250062143,10908
SEEDGWAS2032:MRG:4:250062144,8051
SEEDGWAS2035:MRG:4:250062145,12749
SEEDGWAS2036:MRG:4:250062146,12199
SEEDGWAS2037:MRG:4:250062147,14761
SEEDGWAS2038:MRG:4:250062148,14717
SEEDGWAS2039:MRG:4:250062149,14717
SEEDGWAS2040:MRG:4:250062150,10573
SEEDGWAS2041:MRG:4:250062151,2232
SEEDGWAS2042:MRG:4:250062152,12308
SEEDGWAS2043:MRG:4:250062153,10643
SEEDGWAS2044:MRG:4:250062154,8051
SEEDGWAS2046:MRG:4:250062156,3460
SEEDGWAS2047:MRG:4:250062157,2505
SEEDGWAS2048:MRG:4:250062158,2328
SEEDGWAS2049:MRG:4:250062159,10660
SEEDGWAS2050:MRG:4:250062160,11862
SEEDGWAS2051:MRG:4:250062161,12432
SEEDGWAS2052:MRG:4:250062162,12240
SEEDGWAS2053:MRG:4:250062163,12240
SEEDGWAS2057:MRG:4:250062164,12300
SEEDGWAS2058:MRG:4:250062165,9938
SEEDGWAS2059:MRG:4:250062166,8215
SEEDGWAS206:MRG:4:250056159,11742
SEEDGWAS2061:MRG:4:250062167,5666
SEEDGWAS2065:MRG:4:250062169,9784
SEEDGWAS2069:MRG:4:250062174,12236
SEEDGWAS207:MRG:4:250056160,8898
SEEDGWAS2070:MRG:4:250062175,12256
SEEDGWAS2071:MRG:4:250062176,12525
SEEDGWAS2073:MRG:4:250063018,6520
SEEDGWAS2075:MRG:4:250063019,5425
SEEDGWAS2077:MRG:4:250063021,4640
SEEDGWAS2078:MRG:4:250063022,4510
SEEDGWAS2079:MRG:4:250063023,4824
SEEDGWAS208:MRG:4:250056161,11382
SEEDGWAS2080:MRG:4:250063024,3723
SEEDGWAS2081:MRG:4:250063025,5342
SEEDGWAS2084:MRG:4:250063027,10657
SEEDGWAS2087:MRG:4:250063030,8329
SEEDGWAS209:MRG:4:250056162,6525
SEEDGWAS2092:MRG:4:250063036,6179
SEEDGWAS2093:MRG:4:250063037,6451
SEEDGWAS2096:MRG:4:250063040,6019
SEEDGWAS2097:MRG:4:250063041,8879
SEEDGWAS2098:MRG:4:250063042,5553
SEEDGWAS2099:MRG:4:250063044,5391
SEEDGWAS210:MRG:4:250056163,6525
SEEDGWAS2104:MRG:4:250063046,13019
SEEDGWAS2105:MRG:4:250063047,23123
SEEDGWAS2106:MRG:4:250063048,5682
SEEDGWAS2107:MRG:4:250063049,4663
SEEDGWAS2108:MRG:4:250063050,4122
SEEDGWAS2109:MRG:4:250063051,8997
SEEDGWAS211:MRG:4:250056164,9268
SEEDGWAS2110:MRG:4:250063052,8424
SEEDGWAS2111:MRG:4:250063053,6976
SEEDGWAS2113:MRG:4:250062858,7502
SEEDGWAS2114:MRG:4:250063054,9695
SEEDGWAS2115:MRG:4:250063055,10886
SEEDGWAS2117:MRG:4:250062178,14149
SEEDGWAS2118:MRG:4:250062179,8778
SEEDGWAS2120:MRG:4:250062180,6136
SEEDGWAS2124:MRG:4:250062182,6802
SEEDGWAS213:MRG:4:250056165,9559
SEEDGWAS214:MRG:4:250056166,7674
SEEDGWAS2147:MRG:4:250062199,12544
SEEDGWAS2148:MRG:4:250062200,12544
SEEDGWAS215:MRG:4:250056167,7679
SEEDGWAS2150:MRG:4:250062202,9539
SEEDGWAS2151:MRG:4:250068679,4596
SEEDGWAS2152:MRG:4:250062203,11720
SEEDGWAS2154:MRG:4:250068681,4190
SEEDGWAS2155:MRG:4:250062204,5765
SEEDGWAS2156:MRG:4:250062205,7256
SEEDGWAS2158:MRG:4:250062207,5013
SEEDGWAS2159:MRG:4:250062208,4331
SEEDGWAS216:MRG:4:250056168,9969
SEEDGWAS2160:MRG:4:250062209,5575
SEEDGWAS2161:MRG:4:250062210,5575
SEEDGWAS2162:MRG:4:250062211,5634
SEEDGWAS2163:MRG:4:250062212,4126
SEEDGWAS2164:MRG:4:250062213,16510
SEEDGWAS2165:MRG:4:250062214,5013
SEEDGWAS2166:MRG:4:250062215,3527
SEEDGWAS2167:MRG:4:250062216,7533
SEEDGWAS2168:MRG:4:250062217,10965
SEEDGWAS2169:MRG:4:250062218,6544
SEEDGWAS2170:MRG:4:250062219,6870
SEEDGWAS2171:MRG:4:250068682,5010
SEEDGWAS2172:MRG:4:250068684,1364
SEEDGWAS2173:MRG:4:250068685,12568
SEEDGWAS2174:MRG:4:250062220,4530
SEEDGWAS2175:MRG:4:250062221,5342
SEEDGWAS2177:MRG:4:250062222,3783
SEEDGWAS2178:MRG:4:250062223,7988
SEEDGWAS2179:MRG:4:250062255,12298
SEEDGWAS218:MRG:4:250056169,10183
SEEDGWAS2180:MRG:4:250062256,12298
SEEDGWAS2181:MRG:4:250062257,5363
SEEDGWAS2182:MRG:4:250068687,4712
SEEDGWAS2184:MRG:4:250062258,5163
SEEDGWAS2185:MRG:4:250062259,8756
SEEDGWAS2186:MRG:4:250062261,9810
SEEDGWAS2187:MRG:4:250062262,10039
SEEDGWAS219:MRG:4:250056170,10183
SEEDGWAS2192:MRG:4:250062264,10796
SEEDGWAS2193:MRG:4:250062265,10846
SEEDGWAS2194:MRG:4:250062266,861
SEEDGWAS2195:MRG:4:250062267,1811
SEEDGWAS2196:MRG:4:250062268,2148
SEEDGWAS2197:MRG:4:250062269,1969
SEEDGWAS2198:MRG:4:250068689,1758
SEEDGWAS2199:MRG:4:250068690,4977
SEEDGWAS220:MRG:4:250056171,7941
SEEDGWAS2200:MRG:4:250062270,8756
SEEDGWAS2202:MRG:4:250068691,5255
SEEDGWAS2204:MRG:4:250062271,9502
SEEDGWAS2206:MRG:4:250062272,9619
SEEDGWAS2207:MRG:4:250062273,9312
SEEDGWAS2208:MRG:4:250062274,9275
SEEDGWAS2210:MRG:4:250062275,9187
SEEDGWAS2211:MRG:4:250062276,10182
SEEDGWAS2214:MRG:4:250062277,13295
SEEDGWAS2215:MRG:4:250062278,7533
SEEDGWAS2216:MRG:4:250062279,8227
SEEDGWAS2217:MRG:4:250062280,5575
SEEDGWAS2218:MRG:4:250062281,5575
SEEDGWAS2219:MRG:4:250062282,5575
SEEDGWAS222:MRG:4:250056173,7945
SEEDGWAS2220:MRG:4:250062283,5673
SEEDGWAS2221:MRG:4:250062284,4752
SEEDGWAS2222:MRG:4:250062285,4259
SEEDGWAS2223:MRG:4:250062286,5526
SEEDGWAS2224:MRG:4:250062287,5634
SEEDGWAS2225:MRG:4:250062288,5634
SEEDGWAS2226:MRG:4:250062289,5634
SEEDGWAS2227:MRG:4:250062290,5634
SEEDGWAS2228:MRG:4:250062291,5069
SEEDGWAS2229:MRG:4:250062292,5690
SEEDGWAS223:MRG:4:250056174,6404
SEEDGWAS2231:MRG:4:250062293,9770
SEEDGWAS2232:MRG:4:250062294,9763
SEEDGWAS2233:MRG:4:250062295,9763
SEEDGWAS2234:MRG:4:250062296,8030
SEEDGWAS2235:MRG:4:250062297,6333
SEEDGWAS2236:MRG:4:250062298,6333
SEEDGWAS2237:MRG:4:250062299,8850
SEEDGWAS2238:MRG:4:250062300,10353
SEEDGWAS2239:MRG:4:250062301,10353
SEEDGWAS2240:MRG:4:250062302,8972
SEEDGWAS2241:MRG:4:250062303,8360
SEEDGWAS2244:MRG:4:250062304,9967
SEEDGWAS2250:MRG:4:250062310,7810
SEEDGWAS2251:MRG:4:250062311,5333
SEEDGWAS2252:MRG:4:250062312,4916
SEEDGWAS2253:MRG:4:250062313,5109
SEEDGWAS2254:MRG:4:250062314,5109
SEEDGWAS2255:MRG:4:250062315,6003
SEEDGWAS2256:MRG:4:250062316,12023
SEEDGWAS2257:MRG:4:250062317,5364
SEEDGWAS2258:MRG:4:250062318,2989
SEEDGWAS2259:MRG:4:250062319,12280
SEEDGWAS2260:MRG:4:250068692,6509
SEEDGWAS2261:MRG:4:250068693,6509
SEEDGWAS2262:MRG:4:250062320,10971
SEEDGWAS2263:MRG:4:250068694,5480
SEEDGWAS2264:MRG:4:250062321,2101
SEEDGWAS2265:MRG:4:250062322,1758
SEEDGWAS2266:MRG:4:250062323,2095
SEEDGWAS2267:MRG:4:250062324,4290
SEEDGWAS2268:MRG:4:250062325,4290
SEEDGWAS2269:MRG:4:250068695,1955
SEEDGWAS227:MRG:4:250056176,11558
SEEDGWAS2270:MRG:4:250062326,1942
SEEDGWAS2271:MRG:4:250068696,2050
SEEDGWAS2272:MRG:4:250062327,5670
SEEDGWAS2273:MRG:4:250062328,7846
SEEDGWAS2274:MRG:4:250062329,6529
SEEDGWAS2275:MRG:4:250062330,10796
SEEDGWAS2276:MRG:4:250062331,12403
SEEDGWAS228:MRG:4:250056177,10520
SEEDGWAS229:MRG:4:250056178,11355
SEEDGWAS230:MRG:4:250056179,9603
SEEDGWAS2311:MRG:4:250070007,4218
SEEDGWAS2312:MRG:4:250062386,6467
SEEDGWAS2313:MRG:4:250070008,4218
SEEDGWAS2314:MRG:4:250062388,2060
SEEDGWAS2317:MRG:4:250070009,3425
SEEDGWAS2322:MRG:4:250062391,4686
SEEDGWAS2323:MRG:4:250070010,4356
SEEDGWAS2327:MRG:4:250070011,1969
SEEDGWAS233:MRG:4:250056181,9062
SEEDGWAS2331:MRG:4:250062398,2358
SEEDGWAS2333:MRG:4:250070012,4314
SEEDGWAS2334:MRG:4:250062401,5778
SEEDGWAS2335:MRG:4:250062402,4206
SEEDGWAS2336:MRG:4:250062403,4732
SEEDGWAS2337:MRG:4:250062404,3556
SEEDGWAS2339:MRG:4:250062405,3222
SEEDGWAS234:MRG:4:250056182,9605
SEEDGWAS2342:MRG:4:250062406,12068
SEEDGWAS2343:MRG:4:250070015,2159
SEEDGWAS2350:MRG:4:250062413,4108
SEEDGWAS2351:MRG:4:250070016,4668
SEEDGWAS2352:MRG:4:250070017,3585
SEEDGWAS2353:MRG:4:250062414,6985
SEEDGWAS2354:MRG:4:250062415,2700
SEEDGWAS2355:MRG:4:250070018,5921
SEEDGWAS2355:MRG:4:250070035,5921
SEEDGWAS2355:MRG:4:250070131,5921
SEEDGWAS2355:MRG:4:250070281,5921
SEEDGWAS2355:MRG:4:250070411,5921
SEEDGWAS2355:MRG:4:250070511,5921
SEEDGWAS236:MRG:4:250056184,12174
SEEDGWAS2360:MRG:4:250062418,3747
SEEDGWAS2361:MRG:4:250070020,5707
SEEDGWAS2363:MRG:4:250062420,12271
SEEDGWAS2365:MRG:4:250062421,4868
SEEDGWAS2366:MRG:4:250062422,2397
SEEDGWAS2367:MRG:4:250062423,2225
SEEDGWAS2368:MRG:4:250070021,4977
SEEDGWAS2370:MRG:4:250070022,4681
SEEDGWAS2371:MRG:4:250062425,4760
SEEDGWAS2373:MRG:4:250070023,4824
SEEDGWAS2374:MRG:4:250062426,4907
SEEDGWAS2377:MRG:4:250062427,6053
SEEDGWAS2378:MRG:4:250070024,5494
SEEDGWAS2379:MRG:4:250062428,5494
SEEDGWAS2380:MRG:4:250062429,5442
SEEDGWAS2381:MRG:4:250070025,5442
SEEDGWAS2383:MRG:4:250062430,3045
SEEDGWAS2384:MRG:4:250070026,5821
SEEDGWAS2385:MRG:4:250070027,4511
SEEDGWAS2386:MRG:4:250070028,4747
SEEDGWAS2387:MRG:4:250070029,3743
SEEDGWAS2388:MRG:4:250070030,3288
SEEDGWAS2389:MRG:4:250062431,3395
SEEDGWAS2401:MRG:4:250062438,3182
SEEDGWAS2403:MRG:4:250062439,18966
SEEDGWAS2407:MRG:4:250062443,12832
SEEDGWAS242:MRG:4:250056191,12159
SEEDGWAS2423:MRG:4:250062451,10892
SEEDGWAS2424:MRG:4:250070042,4110
SEEDGWAS2425:MRG:4:250070043,4367
SEEDGWAS2426:MRG:4:250062452,4975
SEEDGWAS2429:MRG:4:250070046,9140
SEEDGWAS243:MRG:4:250059017,11160
SEEDGWAS2433:MRG:4:250062453,9577
SEEDGWAS2434:MRG:4:250070050,6704
SEEDGWAS2435:MRG:4:250062454,14291
SEEDGWAS2436:MRG:4:250070051,11427
SEEDGWAS2437:MRG:4:250062455,14291
SEEDGWAS2438:MRG:4:250070052,4576
SEEDGWAS2439:MRG:4:250070053,6704
SEEDGWAS2440:MRG:4:250062456,6704
SEEDGWAS2441:MRG:4:250062457,4576
SEEDGWAS2442:MRG:4:250062458,12788
SEEDGWAS2443:MRG:4:250062459,4576
SEEDGWAS246:MRG:4:250059018,7404
SEEDGWAS2462:MRG:4:250070069,1381
SEEDGWAS2464:MRG:4:250070070,2646
SEEDGWAS2466:MRG:4:250070071,5633
SEEDGWAS2467:MRG:4:250070072,2783
SEEDGWAS2468:MRG:4:250070073,3257
SEEDGWAS2469:MRG:4:250070074,4005
SEEDGWAS247:MRG:4:250059019,7404
SEEDGWAS2470:MRG:4:250070075,3101
SEEDGWAS2472:MRG:4:250070076,6979
SEEDGWAS2473:MRG:4:250062462,6979
SEEDGWAS2474:MRG:4:250062463,5352
SEEDGWAS2475:MRG:4:250062464,4576
SEEDGWAS2476:MRG:4:250062465,1381
SEEDGWAS2479:MRG:4:250062467,5339
SEEDGWAS2480:MRG:4:250062468,6208
SEEDGWAS2481:MRG:4:250062469,4595
SEEDGWAS2482:MRG:4:250070078,4975
SEEDGWAS249:MRG:4:250059020,7522
SEEDGWAS2490:MRG:4:250062473,4619
SEEDGWAS2491:MRG:4:250070082,4314
SEEDGWAS2494:MRG:4:250062474,8215
SEEDGWAS2495:MRG:4:250062475,17697
SEEDGWAS2496:MRG:4:250062476,17697
SEEDGWAS2497:MRG:4:250070086,3534
SEEDGWAS2498:MRG:4:250062477,5247
SEEDGWAS2499:MRG:4:250070087,3366
SEEDGWAS250:MRG:4:250059021,7550
SEEDGWAS2501:MRG:4:250062509,2492
SEEDGWAS2502:MRG:4:250062510,6706
SEEDGWAS2504:MRG:4:250062511,6761
SEEDGWAS2507:MRG:4:250062512,17697
SEEDGWAS2508:MRG:4:250062513,4719
SEEDGWAS251:MRG:4:250059022,8662
SEEDGWAS2511:MRG:4:250062514,8256
SEEDGWAS2513:MRG:4:250062516,5414
SEEDGWAS2518:MRG:4:250062520,5394
SEEDGWAS2521:MRG:4:250062522,11554
SEEDGWAS2522:MRG:4:250062523,3018
SEEDGWAS2527:MRG:4:250062527,10617
SEEDGWAS2528:MRG:4:250062528,736
SEEDGWAS2530:MRG:4:250062529,8507
SEEDGWAS2531:MRG:4:250062530,9585
SEEDGWAS2533:MRG:4:250062531,14346
SEEDGWAS2535:MRG:4:250062532,6783
SEEDGWAS254:MRG:4:250059023,9485
SEEDGWAS2558:MRG:4:250062536,10788
SEEDGWAS256:MRG:4:250059024,8940
SEEDGWAS2560:MRG:4:250062537,6419
SEEDGWAS2561:MRG:4:250062538,17697
SEEDGWAS2562:MRG:4:250062539,4316
SEEDGWAS2563:MRG:4:250062540,7947
SEEDGWAS2564:MRG:4:250062541,1699
SEEDGWAS2566:MRG:4:250062542,3408
SEEDGWAS257:MRG:4:250059025,9958
SEEDGWAS2572:MRG:4:250062543,2379
SEEDGWAS2577:MRG:4:250062544,15129
SEEDGWAS2578:MRG:4:250062545,12568
SEEDGWAS2579:MRG:4:250070088,4453
SEEDGWAS258:MRG:4:250059026,9958
SEEDGWAS2580:MRG:4:250070089,4453
SEEDGWAS2581:MRG:4:250070090,3558
SEEDGWAS2582:MRG:4:250070091,4410
SEEDGWAS2585:MRG:4:250070092,4453
SEEDGWAS2589:MRG:4:250070094,3683
SEEDGWAS259:MRG:4:250059027,8244
SEEDGWAS2590:MRG:4:250070095,4177
SEEDGWAS2593:MRG:4:250070096,4375
SEEDGWAS2594:MRG:4:250070097,4769
SEEDGWAS2595:MRG:4:250062546,11143
SEEDGWAS2596:MRG:4:250068732,5113
SEEDGWAS2597:MRG:4:250062547,12568
SEEDGWAS2598:MRG:4:250068733,2385
SEEDGWAS2599:MRG:4:250068734,2678
SEEDGWAS260:MRG:4:250059028,8100
SEEDGWAS2600:MRG:4:250062548,1695
SEEDGWAS2601:MRG:4:250062549,4691
SEEDGWAS2602:MRG:4:250068735,3439
SEEDGWAS2603:MRG:4:250068736,3662
SEEDGWAS2605:MRG:4:250062550,10392
SEEDGWAS2607:MRG:4:250068737,4248
SEEDGWAS2608:MRG:4:250068738,3390
SEEDGWAS2609:MRG:4:250062551,6867
SEEDGWAS2610:MRG:4:250062552,11707
SEEDGWAS2611:MRG:4:250062553,13783
SEEDGWAS2613:MRG:4:250062554,13783
SEEDGWAS2614:MRG:4:250062555,12793
SEEDGWAS2615:MRG:4:250062556,11969
SEEDGWAS2616:MRG:4:250062557,13833
SEEDGWAS2617:MRG:4:250062558,13569
SEEDGWAS2618:MRG:4:250062559,13569
SEEDGWAS2619:MRG:4:250062560,13569
SEEDGWAS2620:MRG:4:250062561,5776
SEEDGWAS2621:MRG:4:250068739,5473
SEEDGWAS2622:MRG:4:250068740,1142
SEEDGWAS2623:MRG:4:250068741,3988
SEEDGWAS2625:MRG:4:250062562,4719
SEEDGWAS2626:MRG:4:250068742,2102
SEEDGWAS2627:MRG:4:250062563,4719
SEEDGWAS2628:MRG:4:250062564,2932
SEEDGWAS263:MRG:4:250059029,7866
SEEDGWAS2630:MRG:4:250062566,1695
SEEDGWAS2631:MRG:4:250068743,2303
SEEDGWAS2632:MRG:4:250068745,4927
SEEDGWAS2633:MRG:4:250068746,2527
SEEDGWAS2634:MRG:4:250068747,2083
SEEDGWAS2635:MRG:4:250068748,5124
SEEDGWAS2636:MRG:4:250068749,6256
SEEDGWAS2637:MRG:4:250062567,6256
SEEDGWAS2638:MRG:4:250062568,6256
SEEDGWAS2639:MRG:4:250068750,855
SEEDGWAS264:MRG:4:250059030,7542
SEEDGWAS2640:MRG:4:250068751,945
SEEDGWAS2641:MRG:4:250062569,5512
SEEDGWAS2647:MRG:4:250062575,7000
SEEDGWAS2656:MRG:4:250068753,3427
SEEDGWAS266:MRG:4:250059031,11532
SEEDGWAS267:MRG:4:250059032,20562
SEEDGWAS2670:MRG:4:250068754,3611
SEEDGWAS2671:MRG:4:250068755,4048
SEEDGWAS2672:MRG:4:250068756,2201
SEEDGWAS2673:MRG:4:250062593,3640
SEEDGWAS2674:MRG:4:250062595,2964
SEEDGWAS2677:MRG:4:250062597,4527
SEEDGWAS2678:MRG:4:250062598,3562
SEEDGWAS2679:MRG:4:250068757,3850
SEEDGWAS2680:MRG:4:250068758,2923
SEEDGWAS2682:MRG:4:250068760,5448
SEEDGWAS2686:MRG:4:250062601,6150
SEEDGWAS2689:MRG:4:250068763,3850
SEEDGWAS269:MRG:4:250059033,9111
SEEDGWAS2691:MRG:4:250068764,3659
SEEDGWAS2692:MRG:4:250068766,5235
SEEDGWAS2696:MRG:4:250068767,6582
SEEDGWAS2697:MRG:4:250068768,4448
SEEDGWAS2699:MRG:4:250068769,4578
SEEDGWAS270:MRG:4:250059034,13987
SEEDGWAS2700:MRG:4:250062602,4308
SEEDGWAS2701:MRG:4:250062603,5405
SEEDGWAS2702:MRG:4:250062604,4272
SEEDGWAS2703:MRG:4:250063906,4571
SEEDGWAS2704:MRG:4:250068770,4181
SEEDGWAS2706:MRG:4:250068772,1951
SEEDGWAS2707:MRG:4:250068773,2232
SEEDGWAS2709:MRG:4:250068774,5253
SEEDGWAS2710:MRG:4:250068775,3051
SEEDGWAS2711:MRG:4:250063907,5253
SEEDGWAS2712:MRG:4:250063908,3640
SEEDGWAS2715:MRG:4:250068778,4440
SEEDGWAS272:MRG:4:250059035,14185
SEEDGWAS2721:MRG:4:250063912,5253
SEEDGWAS2722:MRG:4:250068780,2137
SEEDGWAS2723:MRG:4:250068781,4953
SEEDGWAS2726:MRG:4:250068784,5308
SEEDGWAS2729:MRG:4:250068785,8604
SEEDGWAS273:MRG:4:250059036,8811
SEEDGWAS2732:MRG:4:250063915,6490
SEEDGWAS2734:MRG:4:250063916,6644
SEEDGWAS2735:MRG:4:250068787,2719
SEEDGWAS2737:MRG:4:250068788,1827
SEEDGWAS2741:MRG:4:250063919,9022
SEEDGWAS2746:MRG:4:250063923,4948
SEEDGWAS2747:MRG:4:250068789,4716
SEEDGWAS2748:MRG:4:250063924,4716
SEEDGWAS2749:MRG:4:250068790,4448
SEEDGWAS275:MRG:4:250059037,7901
SEEDGWAS2750:MRG:4:250068791,6718
SEEDGWAS2751:MRG:4:250063925,6236
SEEDGWAS2752:MRG:4:250068792,5121
SEEDGWAS2754:MRG:4:250063927,4591
SEEDGWAS2755:MRG:4:250063928,7308
