,maize_ph,maize_cec
SEEDGWAS1807:MRG:4:250062790,63,227
SEEDGWAS1809:MRG:4:250062791,61,192
SEEDGWAS1810:MRG:4:250062792,NA,NA
SEEDGWAS1811:MRG:4:250062793,62,251
SEEDGWAS1812:MRG:4:250062794,65,200
SEEDGWAS1816:MRG:4:250062797,67,218
SEEDGWAS1818:MRG:4:250062798,73,214
SEEDGWAS1819:MRG:4:250062799,72,209
SEEDGWAS182:MRG:4:250056142,53,111
SEEDGWAS1820:MRG:4:250062800,72,209
SEEDGWAS1821:MRG:4:250062801,75,193
SEEDGWAS1822:MRG:4:250062802,75,202
SEEDGWAS1823:MRG:4:250062803,80,216
SEEDGWAS1825:MRG:4:250062805,66,247
SEEDGWAS1826:MRG:4:250062806,66,247
SEEDGWAS1827:MRG:4:250062807,66,247
SEEDGWAS1828:MRG:4:250062808,60,208
SEEDGWAS1829:MRG:4:250062809,68,208
SEEDGWAS183:MRG:4:250056143,58,186
SEEDGWAS1830:MRG:4:250062810,68,184
SEEDGWAS1831:MRG:4:250062812,67,218
SEEDGWAS1832:MRG:4:250062813,67,218
SEEDGWAS1833:MRG:4:250062814,67,218
SEEDGWAS1834:MRG:4:250062815,67,218
SEEDGWAS1835:MRG:4:250062816,67,218
SEEDGWAS1836:MRG:4:250062817,65,199
SEEDGWAS1837:MRG:4:250062818,64,237
SEEDGWAS1838:MRG:4:250062819,65,199
SEEDGWAS1839:MRG:4:250062820,77,219
SEEDGWAS1840:MRG:4:250063056,73,207
SEEDGWAS1841:MRG:4:250063057,52,190
SEEDGWAS1842:MRG:4:250063058,NA,NA
SEEDGWAS1844:MRG:4:250063060,52,221
SEEDGWAS1845:MRG:4:250063061,52,221
SEEDGWAS1846:MRG:4:250063062,56,148
SEEDGWAS1847:MRG:4:250063063,NA,NA
SEEDGWAS1848:MRG:4:250063064,63,276
SEEDGWAS185:MRG:4:250056144,57,172
SEEDGWAS1851:MRG:4:250063067,55,167
SEEDGWAS1852:MRG:4:250063068,53,191
SEEDGWAS1854:MRG:4:250063070,56,148
SEEDGWAS1855:MRG:4:250063071,55,167
SEEDGWAS1856:MRG:4:250063072,55,167
SEEDGWAS1857:MRG:4:250063073,54,175
SEEDGWAS1858:MRG:4:250063074,54,175
SEEDGWAS186:MRG:4:250056145,56,203
SEEDGWAS1864:MRG:4:250063079,55,167
SEEDGWAS1866:MRG:4:250063080,56,153
SEEDGWAS1867:MRG:4:250063081,56,153
SEEDGWAS1868:MRG:4:250063082,56,153
SEEDGWAS1869:MRG:4:250063083,58,178
SEEDGWAS187:MRG:4:250056146,59,223
SEEDGWAS1870:MRG:4:250063084,51,87
SEEDGWAS188:MRG:4:250056147,52,142
SEEDGWAS1884:MRG:4:250063096,NA,NA
SEEDGWAS1885:MRG:4:250063097,64,184
SEEDGWAS1887:MRG:4:250063098,73,226
SEEDGWAS1888:MRG:4:250063099,72,232
SEEDGWAS1889:MRG:4:250063100,56,155
SEEDGWAS1890:MRG:4:250063101,57,145
SEEDGWAS1891:MRG:4:250063102,53,198
SEEDGWAS1894:MRG:4:250063104,60,204
SEEDGWAS1895:MRG:4:250063105,55,167
SEEDGWAS1898:MRG:4:250063106,55,116
SEEDGWAS1899:MRG:4:250063107,53,190
SEEDGWAS190:MRG:4:250056148,52,146
SEEDGWAS1903:MRG:4:250063110,51,193
SEEDGWAS1904:MRG:4:250063111,51,193
SEEDGWAS1905:MRG:4:250063112,59,200
SEEDGWAS1906:MRG:4:250063144,NA,NA
SEEDGWAS1907:MRG:4:250063145,51,145
SEEDGWAS1908:MRG:4:250063146,54,100
SEEDGWAS1909:MRG:4:250063147,54,166
SEEDGWAS191:MRG:4:250056149,52,153
SEEDGWAS1910:MRG:4:250063148,54,137
SEEDGWAS1914:MRG:4:250063152,62,254
SEEDGWAS1917:MRG:4:250063155,52,239
SEEDGWAS1918:MRG:4:250063156,52,226
SEEDGWAS1919:MRG:4:250063157,52,295
SEEDGWAS192:MRG:4:250056150,53,155
SEEDGWAS1920:MRG:4:250063158,50,254
SEEDGWAS1921:MRG:4:250063159,51,303
SEEDGWAS1922:MRG:4:250063160,51,231
SEEDGWAS1923:MRG:4:250063161,53,292
SEEDGWAS1924:MRG:4:250063162,51,216
SEEDGWAS1925:MRG:4:250068669,51,231
SEEDGWAS1926:MRG:4:250063163,50,260
SEEDGWAS1927:MRG:4:250063164,53,205
SEEDGWAS1929:MRG:4:250063165,50,260
SEEDGWAS193:MRG:4:250056151,54,188
SEEDGWAS1931:MRG:4:250063167,50,230
SEEDGWAS1934:MRG:4:250068671,50,254
SEEDGWAS1935:MRG:4:250063169,51,231
SEEDGWAS1936:MRG:4:250063170,52,229
SEEDGWAS1937:MRG:4:250068672,53,240
SEEDGWAS1938:MRG:4:250063171,52,243
SEEDGWAS1939:MRG:4:250063172,54,197
SEEDGWAS194:MRG:4:250056152,54,160
SEEDGWAS1940:MRG:4:250063173,51,231
SEEDGWAS1941:MRG:4:250063174,53,205
SEEDGWAS1942:MRG:4:250063175,50,260
SEEDGWAS1943:MRG:4:250063176,52,216
SEEDGWAS1944:MRG:4:250063177,51,231
SEEDGWAS1945:MRG:4:250063178,52,221
SEEDGWAS1946:MRG:4:250068673,51,231
SEEDGWAS1947:MRG:4:250063179,51,231
SEEDGWAS1948:MRG:4:250063181,52,221
SEEDGWAS1949:MRG:4:250063182,52,221
SEEDGWAS195:MRG:4:250056153,59,224
SEEDGWAS1950:MRG:4:250068674,52,221
SEEDGWAS1951:MRG:4:250063183,51,208
SEEDGWAS1952:MRG:4:250063184,51,225
SEEDGWAS1953:MRG:4:250063185,52,221
SEEDGWAS1954:MRG:4:250063186,50,254
SEEDGWAS1955:MRG:4:250063187,51,208
SEEDGWAS1956:MRG:4:250063188,52,279
SEEDGWAS1957:MRG:4:250068675,49,280
SEEDGWAS1958:MRG:4:250063189,52,295
SEEDGWAS1959:MRG:4:250063190,51,231
SEEDGWAS196:MRG:4:250056154,61,220
SEEDGWAS1960:MRG:4:250063191,55,109
SEEDGWAS1961:MRG:4:250063192,51,165
SEEDGWAS1963:MRG:4:250063193,49,218
SEEDGWAS1964:MRG:4:250063194,58,114
SEEDGWAS1965:MRG:4:250063195,54,135
SEEDGWAS1966:MRG:4:250063196,NA,NA
SEEDGWAS1967:MRG:4:250063197,56,177
SEEDGWAS1968:MRG:4:250063198,52,171
SEEDGWAS1969:MRG:4:250063199,NA,NA
SEEDGWAS197:MRG:4:250056155,66,308
SEEDGWAS1970:MRG:4:250063200,56,103
SEEDGWAS1972:MRG:4:250063201,54,148
SEEDGWAS1974:MRG:4:250063202,53,96
SEEDGWAS1975:MRG:4:250063203,56,170
SEEDGWAS1976:MRG:4:250063204,54,124
SEEDGWAS1977:MRG:4:250063205,55,108
SEEDGWAS1978:MRG:4:250063206,53,147
SEEDGWAS1979:MRG:4:250063207,53,147
SEEDGWAS198:MRG:4:250056156,63,252
SEEDGWAS1980:MRG:4:250063208,55,120
SEEDGWAS1981:MRG:4:250063209,55,120
SEEDGWAS1982:MRG:4:250063210,55,120
SEEDGWAS1983:MRG:4:250063211,52,171
SEEDGWAS1984:MRG:4:250063212,52,196
SEEDGWAS1985:MRG:4:250063213,55,109
SEEDGWAS1986:MRG:4:250063214,NA,NA
SEEDGWAS1987:MRG:4:250063215,55,116
SEEDGWAS1988:MRG:4:250063216,56,106
SEEDGWAS1989:MRG:4:250063217,52,160
SEEDGWAS1990:MRG:4:250063219,53,112
SEEDGWAS1991:MRG:4:250063220,55,138
SEEDGWAS1992:MRG:4:250063221,55,138
SEEDGWAS1993:MRG:4:250063222,52,145
SEEDGWAS1994:MRG:4:250063223,NA,NA
SEEDGWAS1995:MRG:4:250063224,55,116
SEEDGWAS1996:MRG:4:250063225,56,106
SEEDGWAS1998:MRG:4:250063226,NA,NA
SEEDGWAS1999:MRG:4:250063227,NA,NA
SEEDGWAS2000:MRG:4:250063228,NA,NA
SEEDGWAS2001:MRG:4:250063229,51,139
SEEDGWAS2003:MRG:4:250063230,44,164
SEEDGWAS2004:MRG:4:250063231,64,271
SEEDGWAS2005:MRG:4:250063232,53,147
SEEDGWAS2006:MRG:4:250063233,57,96
SEEDGWAS2007:MRG:4:250063234,55,91
SEEDGWAS2008:MRG:4:250063235,70,253
SEEDGWAS2009:MRG:4:250063237,50,210
SEEDGWAS2010:MRG:4:250063238,50,210
SEEDGWAS2011:MRG:4:250063239,50,260
SEEDGWAS2012:MRG:4:250068676,50,254
SEEDGWAS2014:MRG:4:250062129,50,260
SEEDGWAS2015:MRG:4:250062130,50,254
SEEDGWAS2016:MRG:4:250062131,50,254
SEEDGWAS2017:MRG:4:250062132,NA,NA
SEEDGWAS2018:MRG:4:250062133,53,117
SEEDGWAS202:MRG:4:250056157,58,214
SEEDGWAS2022:MRG:4:250062135,51,243
SEEDGWAS2024:MRG:4:250062136,49,280
SEEDGWAS2025:MRG:4:250062137,50,240
SEEDGWAS2026:MRG:4:250062138,51,243
SEEDGWAS2027:MRG:4:250062139,51,208
SEEDGWAS2028:MRG:4:250062140,51,197
SEEDGWAS2029:MRG:4:250062141,55,222
SEEDGWAS203:MRG:4:250056158,58,214
SEEDGWAS2031:MRG:4:250062143,50,182
SEEDGWAS2032:MRG:4:250062144,54,100
SEEDGWAS2035:MRG:4:250062145,53,197
SEEDGWAS2036:MRG:4:250062146,52,216
SEEDGWAS2037:MRG:4:250062147,49,280
SEEDGWAS2038:MRG:4:250062148,50,237
SEEDGWAS2039:MRG:4:250062149,50,237
SEEDGWAS2040:MRG:4:250062150,51,183
SEEDGWAS2041:MRG:4:250062151,77,176
SEEDGWAS2042:MRG:4:250062152,NA,NA
SEEDGWAS2043:MRG:4:250062153,53,96
SEEDGWAS2044:MRG:4:250062154,54,100
SEEDGWAS2046:MRG:4:250062156,69,224
SEEDGWAS2047:MRG:4:250062157,77,221
SEEDGWAS2048:MRG:4:250062158,77,207
SEEDGWAS2049:MRG:4:250062159,55,167
SEEDGWAS2050:MRG:4:250062160,52,221
SEEDGWAS2051:MRG:4:250062161,50,254
SEEDGWAS2052:MRG:4:250062162,50,260
SEEDGWAS2053:MRG:4:250062163,50,260
SEEDGWAS2057:MRG:4:250062164,51,168
SEEDGWAS2058:MRG:4:250062165,NA,NA
SEEDGWAS2059:MRG:4:250062166,54,99
SEEDGWAS206:MRG:4:250056159,58,214
SEEDGWAS2061:MRG:4:250062167,64,271
SEEDGWAS2065:MRG:4:250062169,NA,NA
SEEDGWAS2069:MRG:4:250062174,51,231
SEEDGWAS207:MRG:4:250056160,59,244
SEEDGWAS2070:MRG:4:250062175,51,231
SEEDGWAS2071:MRG:4:250062176,51,230
SEEDGWAS2073:MRG:4:250063018,61,223
SEEDGWAS2075:MRG:4:250063019,61,198
SEEDGWAS2077:MRG:4:250063021,69,248
SEEDGWAS2078:MRG:4:250063022,70,271
SEEDGWAS2079:MRG:4:250063023,73,193
SEEDGWAS208:MRG:4:250056161,59,180
SEEDGWAS2080:MRG:4:250063024,71,239
SEEDGWAS2081:MRG:4:250063025,65,218
SEEDGWAS2084:MRG:4:250063027,70,253
SEEDGWAS2087:MRG:4:250063030,71,245
SEEDGWAS209:MRG:4:250056162,71,374
SEEDGWAS2092:MRG:4:250063036,68,213
SEEDGWAS2093:MRG:4:250063037,64,181
SEEDGWAS2096:MRG:4:250063040,76,238
SEEDGWAS2097:MRG:4:250063041,71,214
SEEDGWAS2098:MRG:4:250063042,68,184
SEEDGWAS2099:MRG:4:250063044,72,301
SEEDGWAS210:MRG:4:250056163,71,374
SEEDGWAS2104:MRG:4:250063046,59,230
SEEDGWAS2105:MRG:4:250063047,54,255
SEEDGWAS2106:MRG:4:250063048,73,311
SEEDGWAS2107:MRG:4:250063049,65,192
SEEDGWAS2108:MRG:4:250063050,71,230
SEEDGWAS2109:MRG:4:250063051,65,225
SEEDGWAS211:MRG:4:250056164,61,392
SEEDGWAS2110:MRG:4:250063052,67,227
SEEDGWAS2111:MRG:4:250063053,69,185
SEEDGWAS2113:MRG:4:250062858,NA,NA
SEEDGWAS2114:MRG:4:250063054,61,240
SEEDGWAS2115:MRG:4:250063055,63,224
SEEDGWAS2117:MRG:4:250062178,51,208
SEEDGWAS2118:MRG:4:250062179,56,148
SEEDGWAS2120:MRG:4:250062180,61,154
SEEDGWAS2124:MRG:4:250062182,60,258
SEEDGWAS213:MRG:4:250056165,NA,NA
SEEDGWAS214:MRG:4:250056166,62,289
SEEDGWAS2147:MRG:4:250062199,44,145
SEEDGWAS2148:MRG:4:250062200,44,145
SEEDGWAS215:MRG:4:250056167,NA,NA
SEEDGWAS2150:MRG:4:250062202,60,181
SEEDGWAS2151:MRG:4:250068679,NA,NA
SEEDGWAS2152:MRG:4:250062203,58,289
SEEDGWAS2154:MRG:4:250068681,NA,NA
SEEDGWAS2155:MRG:4:250062204,61,190
SEEDGWAS2156:MRG:4:250062205,58,175
SEEDGWAS2158:MRG:4:250062207,59,110
SEEDGWAS2159:MRG:4:250062208,63,187
SEEDGWAS216:MRG:4:250056168,56,285
SEEDGWAS2160:MRG:4:250062209,59,93
SEEDGWAS2161:MRG:4:250062210,59,93
SEEDGWAS2162:MRG:4:250062211,64,163
SEEDGWAS2163:MRG:4:250062212,62,188
SEEDGWAS2164:MRG:4:250062213,47,132
SEEDGWAS2165:MRG:4:250062214,59,110
SEEDGWAS2166:MRG:4:250062215,67,262
SEEDGWAS2167:MRG:4:250062216,59,206
SEEDGWAS2168:MRG:4:250062217,NA,NA
SEEDGWAS2169:MRG:4:250062218,NA,NA
SEEDGWAS2170:MRG:4:250062219,60,198
SEEDGWAS2171:MRG:4:250068682,63,209
SEEDGWAS2172:MRG:4:250068684,81,161
SEEDGWAS2173:MRG:4:250068685,55,258
SEEDGWAS2174:MRG:4:250062220,70,250
SEEDGWAS2175:MRG:4:250062221,65,218
SEEDGWAS2177:MRG:4:250062222,78,181
SEEDGWAS2178:MRG:4:250062223,56,278
SEEDGWAS2179:MRG:4:250062255,52,154
SEEDGWAS218:MRG:4:250056169,56,220
SEEDGWAS2180:MRG:4:250062256,52,154
SEEDGWAS2181:MRG:4:250062257,66,174
SEEDGWAS2182:MRG:4:250068687,62,297
SEEDGWAS2184:MRG:4:250062258,70,220
SEEDGWAS2185:MRG:4:250062259,NA,NA
SEEDGWAS2186:MRG:4:250062261,54,190
SEEDGWAS2187:MRG:4:250062262,53,151
SEEDGWAS219:MRG:4:250056170,56,220
SEEDGWAS2192:MRG:4:250062264,52,174
SEEDGWAS2193:MRG:4:250062265,51,202
SEEDGWAS2194:MRG:4:250062266,71,183
SEEDGWAS2195:MRG:4:250062267,72,162
SEEDGWAS2196:MRG:4:250062268,71,182
SEEDGWAS2197:MRG:4:250062269,73,176
SEEDGWAS2198:MRG:4:250068689,78,166
SEEDGWAS2199:MRG:4:250068690,59,221
SEEDGWAS220:MRG:4:250056171,56,227
SEEDGWAS2200:MRG:4:250062270,NA,NA
SEEDGWAS2202:MRG:4:250068691,69,267
SEEDGWAS2204:MRG:4:250062271,51,151
SEEDGWAS2206:MRG:4:250062272,52,181
SEEDGWAS2207:MRG:4:250062273,53,230
SEEDGWAS2208:MRG:4:250062274,54,193
SEEDGWAS2210:MRG:4:250062275,55,217
SEEDGWAS2211:MRG:4:250062276,54,166
SEEDGWAS2214:MRG:4:250062277,49,168
SEEDGWAS2215:MRG:4:250062278,59,206
SEEDGWAS2216:MRG:4:250062279,58,203
SEEDGWAS2217:MRG:4:250062280,59,93
SEEDGWAS2218:MRG:4:250062281,59,93
SEEDGWAS2219:MRG:4:250062282,59,93
SEEDGWAS222:MRG:4:250056173,58,227
SEEDGWAS2220:MRG:4:250062283,59,100
SEEDGWAS2221:MRG:4:250062284,61,135
SEEDGWAS2222:MRG:4:250062285,67,204
SEEDGWAS2223:MRG:4:250062286,61,162
SEEDGWAS2224:MRG:4:250062287,64,163
SEEDGWAS2225:MRG:4:250062288,64,163
SEEDGWAS2226:MRG:4:250062289,64,163
SEEDGWAS2227:MRG:4:250062290,64,163
SEEDGWAS2228:MRG:4:250062291,NA,NA
SEEDGWAS2229:MRG:4:250062292,60,157
SEEDGWAS223:MRG:4:250056174,NA,NA
SEEDGWAS2231:MRG:4:250062293,53,199
SEEDGWAS2232:MRG:4:250062294,51,157
SEEDGWAS2233:MRG:4:250062295,51,157
SEEDGWAS2234:MRG:4:250062296,58,141
SEEDGWAS2235:MRG:4:250062297,61,190
SEEDGWAS2236:MRG:4:250062298,61,190
SEEDGWAS2237:MRG:4:250062299,55,124
SEEDGWAS2238:MRG:4:250062300,53,171
SEEDGWAS2239:MRG:4:250062301,53,171
SEEDGWAS2240:MRG:4:250062302,54,162
SEEDGWAS2241:MRG:4:250062303,NA,NA
SEEDGWAS2244:MRG:4:250062304,72,257
SEEDGWAS2250:MRG:4:250062310,73,216
SEEDGWAS2251:MRG:4:250062311,NA,NA
SEEDGWAS2252:MRG:4:250062312,73,225
SEEDGWAS2253:MRG:4:250062313,68,207
SEEDGWAS2254:MRG:4:250062314,68,207
SEEDGWAS2255:MRG:4:250062315,62,197
SEEDGWAS2256:MRG:4:250062316,54,266
SEEDGWAS2257:MRG:4:250062317,62,212
SEEDGWAS2258:MRG:4:250062318,74,227
SEEDGWAS2259:MRG:4:250062319,56,194
SEEDGWAS2260:MRG:4:250068692,60,215
SEEDGWAS2261:MRG:4:250068693,60,215
SEEDGWAS2262:MRG:4:250062320,50,180
SEEDGWAS2263:MRG:4:250068694,63,209
SEEDGWAS2264:MRG:4:250062321,74,180
SEEDGWAS2265:MRG:4:250062322,78,166
SEEDGWAS2266:MRG:4:250062323,74,158
SEEDGWAS2267:MRG:4:250062324,68,181
SEEDGWAS2268:MRG:4:250062325,68,181
SEEDGWAS2269:MRG:4:250068695,75,178
SEEDGWAS227:MRG:4:250056176,55,241
SEEDGWAS2270:MRG:4:250062326,76,176
SEEDGWAS2271:MRG:4:250068696,74,161
SEEDGWAS2272:MRG:4:250062327,59,216
SEEDGWAS2273:MRG:4:250062328,59,233
SEEDGWAS2274:MRG:4:250062329,63,220
SEEDGWAS2275:MRG:4:250062330,52,174
SEEDGWAS2276:MRG:4:250062331,52,142
SEEDGWAS228:MRG:4:250056177,54,209
SEEDGWAS229:MRG:4:250056178,56,162
SEEDGWAS230:MRG:4:250056179,57,196
SEEDGWAS2311:MRG:4:250070007,71,264
SEEDGWAS2312:MRG:4:250062386,61,219
SEEDGWAS2313:MRG:4:250070008,71,264
SEEDGWAS2314:MRG:4:250062388,NA,NA
SEEDGWAS2317:MRG:4:250070009,NA,NA
SEEDGWAS2322:MRG:4:250062391,59,239
SEEDGWAS2323:MRG:4:250070010,71,238
SEEDGWAS2327:MRG:4:250070011,77,243
SEEDGWAS233:MRG:4:250056181,54,190
SEEDGWAS2331:MRG:4:250062398,NA,NA
SEEDGWAS2333:MRG:4:250070012,60,184
SEEDGWAS2334:MRG:4:250062401,61,227
SEEDGWAS2335:MRG:4:250062402,66,261
SEEDGWAS2336:MRG:4:250062403,62,279
SEEDGWAS2337:MRG:4:250062404,71,234
SEEDGWAS2339:MRG:4:250062405,75,193
SEEDGWAS234:MRG:4:250056182,55,125
SEEDGWAS2342:MRG:4:250062406,58,219
SEEDGWAS2343:MRG:4:250070015,80,179
SEEDGWAS2350:MRG:4:250062413,66,257
SEEDGWAS2351:MRG:4:250070016,63,290
SEEDGWAS2352:MRG:4:250070017,70,266
SEEDGWAS2353:MRG:4:250062414,NA,NA
SEEDGWAS2354:MRG:4:250062415,71,238
SEEDGWAS2355:MRG:4:250070018,64,226
SEEDGWAS2355:MRG:4:250070035,64,226
SEEDGWAS2355:MRG:4:250070131,64,226
SEEDGWAS2355:MRG:4:250070281,64,226
SEEDGWAS2355:MRG:4:250070411,64,226
SEEDGWAS2355:MRG:4:250070511,64,226
SEEDGWAS236:MRG:4:250056184,47,276
SEEDGWAS2360:MRG:4:250062418,65,270
SEEDGWAS2361:MRG:4:250070020,59,285
SEEDGWAS2363:MRG:4:250062420,57,222
SEEDGWAS2365:MRG:4:250062421,NA,NA
SEEDGWAS2366:MRG:4:250062422,69,279
SEEDGWAS2367:MRG:4:250062423,74,269
SEEDGWAS2368:MRG:4:250070021,59,221
SEEDGWAS2370:MRG:4:250070022,69,246
SEEDGWAS2371:MRG:4:250062425,NA,NA
SEEDGWAS2373:MRG:4:250070023,72,255
SEEDGWAS2374:MRG:4:250062426,71,298
SEEDGWAS2377:MRG:4:250062427,65,251
SEEDGWAS2378:MRG:4:250070024,67,277
SEEDGWAS2379:MRG:4:250062428,67,277
SEEDGWAS2380:MRG:4:250062429,NA,NA
SEEDGWAS2381:MRG:4:250070025,NA,NA
SEEDGWAS2383:MRG:4:250062430,74,259
SEEDGWAS2384:MRG:4:250070026,70,197
SEEDGWAS2385:MRG:4:250070027,NA,NA
SEEDGWAS2386:MRG:4:250070028,77,252
SEEDGWAS2387:MRG:4:250070029,68,216
SEEDGWAS2388:MRG:4:250070030,NA,NA
SEEDGWAS2389:MRG:4:250062431,75,220
SEEDGWAS2401:MRG:4:250062438,62,193
SEEDGWAS2403:MRG:4:250062439,53,175
SEEDGWAS2407:MRG:4:250062443,50,178
SEEDGWAS242:MRG:4:250056191,49,223
SEEDGWAS2423:MRG:4:250062451,53,127
SEEDGWAS2424:MRG:4:250070042,74,256
SEEDGWAS2425:MRG:4:250070043,65,274
SEEDGWAS2426:MRG:4:250062452,NA,NA
SEEDGWAS2429:MRG:4:250070046,59,217
SEEDGWAS243:MRG:4:250059017,51,264
SEEDGWAS2433:MRG:4:250062453,54,205
SEEDGWAS2434:MRG:4:250070050,61,217
SEEDGWAS2435:MRG:4:250062454,57,251
SEEDGWAS2436:MRG:4:250070051,58,199
SEEDGWAS2437:MRG:4:250062455,57,251
SEEDGWAS2438:MRG:4:250070052,65,205
SEEDGWAS2439:MRG:4:250070053,61,217
SEEDGWAS2440:MRG:4:250062456,61,217
SEEDGWAS2441:MRG:4:250062457,65,205
SEEDGWAS2442:MRG:4:250062458,50,209
SEEDGWAS2443:MRG:4:250062459,65,205
SEEDGWAS246:MRG:4:250059018,56,90
SEEDGWAS2462:MRG:4:250070069,77,199
SEEDGWAS2464:MRG:4:250070070,74,214
SEEDGWAS2466:MRG:4:250070071,58,264
SEEDGWAS2467:MRG:4:250070072,71,249
SEEDGWAS2468:MRG:4:250070073,72,239
SEEDGWAS2469:MRG:4:250070074,62,269
SEEDGWAS247:MRG:4:250059019,56,90
SEEDGWAS2470:MRG:4:250070075,74,261
SEEDGWAS2472:MRG:4:250070076,60,237
SEEDGWAS2473:MRG:4:250062462,60,237
SEEDGWAS2474:MRG:4:250062463,60,221
SEEDGWAS2475:MRG:4:250062464,65,205
SEEDGWAS2476:MRG:4:250062465,77,199
SEEDGWAS2479:MRG:4:250062467,66,269
SEEDGWAS2480:MRG:4:250062468,60,264
SEEDGWAS2481:MRG:4:250062469,62,265
SEEDGWAS2482:MRG:4:250070078,NA,NA
SEEDGWAS249:MRG:4:250059020,58,114
SEEDGWAS2490:MRG:4:250062473,65,219
SEEDGWAS2491:MRG:4:250070082,60,184
SEEDGWAS2494:MRG:4:250062474,58,215
SEEDGWAS2495:MRG:4:250062475,NA,NA
SEEDGWAS2496:MRG:4:250062476,NA,NA
SEEDGWAS2497:MRG:4:250070086,72,309
SEEDGWAS2498:MRG:4:250062477,61,277
SEEDGWAS2499:MRG:4:250070087,68,290
SEEDGWAS250:MRG:4:250059021,55,113
SEEDGWAS2501:MRG:4:250062509,67,249
SEEDGWAS2502:MRG:4:250062510,64,295
SEEDGWAS2504:MRG:4:250062511,56,260
SEEDGWAS2507:MRG:4:250062512,NA,NA
SEEDGWAS2508:MRG:4:250062513,64,213
SEEDGWAS251:MRG:4:250059022,55,141
SEEDGWAS2511:MRG:4:250062514,60,264
SEEDGWAS2513:MRG:4:250062516,57,90
SEEDGWAS2518:MRG:4:250062520,64,230
SEEDGWAS2521:MRG:4:250062522,51,181
SEEDGWAS2522:MRG:4:250062523,63,194
SEEDGWAS2527:MRG:4:250062527,51,166
SEEDGWAS2528:MRG:4:250062528,NA,NA
SEEDGWAS2530:MRG:4:250062529,65,200
SEEDGWAS2531:MRG:4:250062530,63,214
SEEDGWAS2533:MRG:4:250062531,62,233
SEEDGWAS2535:MRG:4:250062532,65,188
SEEDGWAS254:MRG:4:250059023,53,147
SEEDGWAS2558:MRG:4:250062536,51,165
SEEDGWAS256:MRG:4:250059024,54,124
SEEDGWAS2560:MRG:4:250062537,65,199
SEEDGWAS2561:MRG:4:250062538,NA,NA
SEEDGWAS2562:MRG:4:250062539,NA,NA
SEEDGWAS2563:MRG:4:250062540,62,208
SEEDGWAS2564:MRG:4:250062541,79,201
SEEDGWAS2566:MRG:4:250062542,74,201
SEEDGWAS257:MRG:4:250059025,NA,NA
SEEDGWAS2572:MRG:4:250062543,74,243
SEEDGWAS2577:MRG:4:250062544,NA,NA
SEEDGWAS2578:MRG:4:250062545,55,258
SEEDGWAS2579:MRG:4:250070088,60,208
SEEDGWAS258:MRG:4:250059026,NA,NA
SEEDGWAS2580:MRG:4:250070089,60,208
SEEDGWAS2581:MRG:4:250070090,71,218
SEEDGWAS2582:MRG:4:250070091,71,234
SEEDGWAS2585:MRG:4:250070092,60,208
SEEDGWAS2589:MRG:4:250070094,70,231
SEEDGWAS259:MRG:4:250059027,55,120
SEEDGWAS2590:MRG:4:250070095,67,220
SEEDGWAS2593:MRG:4:250070096,64,225
SEEDGWAS2594:MRG:4:250070097,66,192
SEEDGWAS2595:MRG:4:250062546,60,240
SEEDGWAS2596:MRG:4:250068732,65,249
SEEDGWAS2597:MRG:4:250062547,55,258
SEEDGWAS2598:MRG:4:250068733,NA,NA
SEEDGWAS2599:MRG:4:250068734,74,231
SEEDGWAS260:MRG:4:250059028,55,110
SEEDGWAS2600:MRG:4:250062548,79,216
SEEDGWAS2601:MRG:4:250062549,65,211
SEEDGWAS2602:MRG:4:250068735,66,268
SEEDGWAS2603:MRG:4:250068736,63,272
SEEDGWAS2605:MRG:4:250062550,56,245
SEEDGWAS2607:MRG:4:250068737,59,217
SEEDGWAS2608:MRG:4:250068738,64,270
SEEDGWAS2609:MRG:4:250062551,56,124
SEEDGWAS2610:MRG:4:250062552,51,147
SEEDGWAS2611:MRG:4:250062553,51,172
SEEDGWAS2613:MRG:4:250062554,51,172
SEEDGWAS2614:MRG:4:250062555,55,253
SEEDGWAS2615:MRG:4:250062556,54,239
SEEDGWAS2616:MRG:4:250062557,52,219
SEEDGWAS2617:MRG:4:250062558,53,210
SEEDGWAS2618:MRG:4:250062559,53,210
SEEDGWAS2619:MRG:4:250062560,53,210
SEEDGWAS2620:MRG:4:250062561,60,198
SEEDGWAS2621:MRG:4:250068739,65,251
SEEDGWAS2622:MRG:4:250068740,81,187
SEEDGWAS2623:MRG:4:250068741,NA,NA
SEEDGWAS2625:MRG:4:250062562,64,213
SEEDGWAS2626:MRG:4:250068742,74,241
SEEDGWAS2627:MRG:4:250062563,64,213
SEEDGWAS2628:MRG:4:250062564,77,196
SEEDGWAS263:MRG:4:250059029,55,109
SEEDGWAS2630:MRG:4:250062566,79,216
SEEDGWAS2631:MRG:4:250068743,78,174
SEEDGWAS2632:MRG:4:250068745,61,169
SEEDGWAS2633:MRG:4:250068746,68,174
SEEDGWAS2634:MRG:4:250068747,76,242
SEEDGWAS2635:MRG:4:250068748,75,223
SEEDGWAS2636:MRG:4:250068749,59,218
SEEDGWAS2637:MRG:4:250062567,59,218
SEEDGWAS2638:MRG:4:250062568,59,218
SEEDGWAS2639:MRG:4:250068750,79,137
SEEDGWAS264:MRG:4:250059030,55,106
SEEDGWAS2640:MRG:4:250068751,81,191
SEEDGWAS2641:MRG:4:250062569,62,215
