GeneID	GeneName	Family_Subfamily	Protein_class	GO_MF	GO_BP	GO_CC
Zm00001eb046210	Protein NRT1_ PTR FAMILY 5.2	OS10G0469900 PROTEIN (PTHR11654:SF115)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb392700	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 12-RELATED (PTHR47992:SF191)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	regulation of intracellular signal transduction(GO:1902531)	
Zm00001eb202100	Purple acid phosphatase	PURPLE ACID PHOSPHATASE (PTHR22953:SF108)	phosphatase(PC00181)	acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)		
Zm00001eb130000	EamA domain-containing protein	WAT1-RELATED PROTEIN (PTHR31218:SF259)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb428530	Putative leucine-rich repeat receptor-like protein kinase family protein	INACTIVE LEUCINE-RICH REPEAT RECEPTOR KINASE XIAO-RELATED (PTHR27000:SF642)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)	brassinosteroid mediated signaling pathway(GO:0009742)	plasma membrane(GO:0005886)
Zm00001eb251130	Protein NRT1_ PTR FAMILY 7.2	PROTEIN NRT1_ PTR FAMILY 7.2 (PTHR11654:SF333)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb110250	CDPK-related kinase 1	CDPK-RELATED KINASE 7 (PTHR24349:SF92)	non-receptor serine/threonine protein kinase(PC00167)			
Zm00001eb330580	Peroxidase	PEROXIDASE RIP1 (PTHR31388:SF123)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb431490	Thioredoxin-like 4	THIOREDOXIN-LIKE PROTEIN CXXS1 (PTHR10438:SF242)	oxidoreductase(PC00176)	protein disulfide isomerase activity(GO:0003756)		cytosol(GO:0005829)
Zm00001eb351770	Anther-specific proline-rich protein APG	OS05G0468500 PROTEIN (PTHR45642:SF145)	hydrolase(PC00121)	"hydrolase activity, acting on ester bonds(GO:0016788)"		
Zm00001eb033760	Oligopeptide transporter 5	OS08G0492000 PROTEIN (PTHR22601:SF69)		oligopeptide transmembrane transporter activity(GO:0035673)	protein transport(GO:0015031);peptide transport(GO:0015833);oligopeptide transmembrane transport(GO:0035672);transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb196930	Calmodulin binding protein	IQ DOMAIN-CONTAINING PROTEIN IQM3 (PTHR31250:SF10)				nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb217290	Argonaute108	PROTEIN ARGONAUTE 11 (PTHR22891:SF133)	translation initiation factor(PC00224)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521)	regulatory ncRNA-mediated gene silencing(GO:0031047)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb303060	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3	LEUCINE-RICH REPEAT RECEPTOR-LIKE TYROSINE-PROTEIN KINASE PXC3 (PTHR27000:SF38)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	anatomical structure morphogenesis(GO:0009653);plant organ development(GO:0099402)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb058150	Subtilisin-like protease	SUBTILISIN-LIKE PROTEASE SBT1.7 (PTHR10795:SF469)	serine protease(PC00203)	serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);system development(GO:0048731)	extracellular region(GO:0005576)
Zm00001eb189920	Aldehyde dehydrogenase domain-containing protein	MITOCHONDRIAL ALDEHYDE DEHYDROGENASE ALDH2A (PTHR11699:SF276)	dehydrogenase(PC00092)			
Zm00001eb329580	Carboxypeptidase	SERINE CARBOXYPEPTIDASE-LIKE 36-RELATED (PTHR11802:SF132)	serine protease(PC00203)	carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	
Zm00001eb384620	Amino acid permease 6	OS06G0556000 PROTEIN (PTHR48017:SF143)		amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb043110	Peroxidase	PEROXIDASE (PTHR31235:SF254)	peroxidase(PC00180)	catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb384580	Putative leucine-rich repeat receptor-like protein kinase family protein	OS06G0557100 PROTEIN (PTHR27000:SF282)	transmembrane signal receptor(PC00197)	protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb369270	Putative calcium-dependent protein kinase family protein	CALCIUM-DEPENDENT PROTEIN KINASE 2 (PTHR24349:SF353)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb217370	E3 ubiquitin-protein ligase RMA	E3 UBIQUITIN-PROTEIN LIGASE RMA (PTHR12313:SF7)	ubiquitin-protein ligase(PC00234)	zinc ion binding(GO:0008270);transferase activity(GO:0016740);ubiquitin-like protein conjugating enzyme binding(GO:0044390);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);endomembrane system(GO:0012505)
Zm00001eb264870	Peroxidase	PEROXIDASE (PTHR31235:SF21)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb331410	protein-serine_threonine phosphatase	PROTEIN-SERINE_THREONINE PHOSPHATASE (PTHR47992:SF108)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	regulation of intracellular signal transduction(GO:1902531)	
Zm00001eb403120	Ras-related protein RABF1	RAS-RELATED PROTEIN RABF1 (PTHR47979:SF125)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	vesicle-mediated transport(GO:0016192);early endosome to late endosome transport(GO:0045022)	endosome(GO:0005768);early endosome(GO:0005769);cytoplasmic side of endosome membrane(GO:0010009)
Zm00001eb149530	Putative LRR receptor-like serine_threonine-protein kinase IRK	OS01G0821900 PROTEIN (PTHR27000:SF162)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886)
Zm00001eb082170	Protein NRT1_ PTR FAMILY 4.4	OSJNBA0064D20.8 PROTEIN (PTHR11654:SF114)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb102470	Peroxidase	PEROXIDASE 55 (PTHR31517:SF51)		catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
Zm00001eb047520	Beta-glucuronosyltransferase GlcAT14A	"CORE-2_I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN (PTHR45719:SF4)"	glycosyltransferase(PC00111)	glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)	double fertilization forming a zygote and endosperm(GO:0009567);pollen tube development(GO:0048868)	membrane(GO:0016020)
Zm00001eb160380	Beta-galactosidase	BETA-GALACTOSIDASE 2 (PTHR23421:SF153)	galactosidase(PC00104)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-galactosidase activity(GO:0004565);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)"	carbohydrate metabolic process(GO:0005975);plant-type cell wall modification(GO:0009827);galactose catabolic process(GO:0019388)	vacuole(GO:0005773);plant-type cell wall(GO:0009505);apoplast(GO:0048046)
Zm00001eb371630	Endoglucanase	ENDOGLUCANASE 16 (PTHR22298:SF52)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	
Zm00001eb032940	Leucine-rich repeat transmembrane protein kinase family protein	RECEPTOR PROTEIN-TYROSINE KINASE CEPR1 (PTHR27000:SF224)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
Zm00001eb193280	Putative DUF231 domain containing family protein	OS02G0773732 PROTEIN (PTHR32285:SF339)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb040920	Leucine-rich repeat receptor-like protein kinase PEPR1	OS08G0446200 PROTEIN (PTHR48054:SF13)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	response to stress(GO:0006950)	plasma membrane(GO:0005886)
Zm00001eb257490	Transmembrane amino acid transporter family protein	TRANSMEMBRANE AMINO ACID TRANSPORTER FAMILY PROTEIN (PTHR48017:SF75)		amino acid transmembrane transporter activity(GO:0015171)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	membrane(GO:0016020);organelle membrane(GO:0031090)
Zm00001eb134240	Leucine-rich repeat transmembrane protein kinase family protein	RECEPTOR PROTEIN-TYROSINE KINASE CEPR1 (PTHR27000:SF224)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
Zm00001eb430440	Calcium-transporting ATPase	CALCIUM-TRANSPORTING ATPASE (PTHR24093:SF369)	primary active transporter(PC00068)	nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872)	monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588)	plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb395470	Exostosin family protein	OS03G0324700 PROTEIN (PTHR11062:SF198)	glycosyltransferase(PC00111)	glycosyltransferase activity(GO:0016757)		Golgi membrane(GO:0000139)
Zm00001eb349050	Amino acid carrier	AMINO ACID PERMEASE 2 (PTHR48017:SF93)		amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb222030	Protein NRT1_ PTR FAMILY 5.2	PROTEIN NRT1_ PTR FAMILY 5.2-RELATED (PTHR11654:SF453)	transporter(PC00227)	transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916)	dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb225230	Peroxidase	PEROXIDASE 39 (PTHR31235:SF39)	peroxidase(PC00180)			
Zm00001eb151190	Plant heme peroxidase family profile domain-containing protein	PEROXIDASE (PTHR31517:SF84)		peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
Zm00001eb289290	Protein NRT1_ PTR FAMILY 5.10	PROTEIN NRT1_ PTR FAMILY 5.10 (PTHR11654:SF94)	transporter(PC00227)	transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916);low-affinity nitrate transmembrane transporter activity(GO:0080054)	oligopeptide transport(GO:0006857);nitrate transmembrane transport(GO:0015706);dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085)	plant-type vacuole membrane(GO:0009705);membrane(GO:0016020)
Zm00001eb270630	GDSL esterase_lipase APG	GDSL ESTERASE_LIPASE APG (PTHR45642:SF16)	hydrolase(PC00121)	"hydrolase activity, acting on ester bonds(GO:0016788)"		
Zm00001eb368570	GDSL esterase_lipase	SGNH HYDROLASE-TYPE ESTERASE DOMAIN-CONTAINING PROTEIN (PTHR45642:SF139)	hydrolase(PC00121)			
Zm00001eb148270	Laccase	LACCASE (PTHR11709:SF101)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
Zm00001eb059050	Leucine-rich repeat receptor-like serine_threonine-protein kinase BAM3	OS03G0773700 PROTEIN (PTHR48053:SF156)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);signaling receptor activity(GO:0038023)	hormone-mediated signaling pathway(GO:0009755);cell differentiation(GO:0030154);regulation of developmental process(GO:0050793)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb280690	Endoglucanase	ENDOGLUCANASE 17 (PTHR22298:SF184)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	
Zm00001eb322620	Calcium dependent protein kinase8	CALCIUM-DEPENDENT PROTEIN KINASE 33-RELATED (PTHR24349:SF350)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb362000	Flavin-containing monooxygenase	INDOLE-3-PYRUVATE MONOOXYGENASE YUCCA6 (PTHR43539:SF38)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)"	auxin biosynthetic process(GO:0009851)	
Zm00001eb388080	Expansin	EXPANSIN-A20 (PTHR31867:SF99)			syncytium formation(GO:0006949);plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555)	extracellular region(GO:0005576);membrane(GO:0016020)
Zm00001eb313500	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF60)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb362650	Putative leucine-rich repeat receptor-like protein kinase family protein	OS01G0957100 PROTEIN (PTHR27000:SF221)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb058260	Peroxidase	PEROXIDASE (PTHR31517:SF47)				
Zm00001eb392430	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF189)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb058860	Putative xyloglucan glycosyltransferase 12	XYLOGLUCAN GLYCOSYLTRANSFERASE 9-RELATED (PTHR32044:SF51)		transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)	pollen tube development(GO:0048868);cell wall organization(GO:0071555);plant organ development(GO:0099402)	Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb022050	Peroxidase	PEROXIDASE (PTHR31235:SF258)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb101560	Putative LRR receptor-like serine_threonine-protein kinase	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE RGI3 (PTHR27000:SF676)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);peptide binding(GO:0042277)		plasma membrane(GO:0005886)
Zm00001eb106450	Histone H2A	HISTONE H2A.7-RELATED (PTHR23430:SF367)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	heterochromatin formation(GO:0031507)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb070460	Protein kinase superfamily protein	COLD-RESPONSIVE PROTEIN KINASE 1 (PTHR47973:SF51)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		
Zm00001eb426230	GDSL esterase_lipase LTL1	OS04G0507700 PROTEIN (PTHR45648:SF21)	lipase(PC00143)	"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)"	lipid catabolic process(GO:0016042)	
Zm00001eb110020	non-specific serine_threonine protein kinase	CBL-INTERACTING PROTEIN KINASE 21 (PTHR43895:SF65)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	signal transduction(GO:0007165)	
Zm00001eb351150	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 (PTHR31165:SF59)		DNA binding(GO:0003677)	mRNA transcription(GO:0009299);response to light stimulus(GO:0009416)	nucleus(GO:0005634)
Zm00001eb195200	Peroxidase	PEROXIDASE (PTHR31388:SF238)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);lignin biosynthetic process(GO:0009809);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb419530	Expansin	EXPANSIN-A11 (PTHR31867:SF4)			plant-type cell wall organization(GO:0009664);plant-type cell wall loosening(GO:0009828);cell wall organization(GO:0071555)	extracellular region(GO:0005576);membrane(GO:0016020)
Zm00001eb356130	Ras-related protein Rab11C	RAS-RELATED PROTEIN RAB11C (PTHR47979:SF117)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	vesicle-mediated transport(GO:0016192)	endosome(GO:0005768);endomembrane system(GO:0012505)
Zm00001eb315040	DNAJ heat shock N-terminal domain-containing protein	DNAJ HEAT SHOCK N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR21454:SF47)		iron ion binding(GO:0005506);metal ion binding(GO:0046872)	protein histidyl modification to diphthamide(GO:0017183)	nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)
Zm00001eb156040	DNA-binding protein RAV1	DNA-BINDING PROTEIN RAV1 (PTHR31140:SF155)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb254960	Laccase	LACCASE-14 (PTHR11709:SF262)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
Zm00001eb145890	Leucine-rich receptor-like protein kinase family protein	RECEPTOR PROTEIN-TYROSINE KINASE CEPR2 (PTHR27000:SF97)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
Zm00001eb157530	mitogen-activated protein kinase	MITOGEN-ACTIVATED PROTEIN KINASE 8 (PTHR24055:SF187)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase activity(GO:0004707);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	MAPK cascade(GO:0000165);intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb131190	Carboxypeptidase	SERINE CARBOXYPEPTIDASE-LIKE 33 (PTHR11802:SF235)	serine protease(PC00203)	carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	
Zm00001eb316180	Subtilisin-like protease SBT5.3	OS09G0479900 PROTEIN (PTHR10795:SF688)	serine protease(PC00203)			
Zm00001eb214630	LRR receptor-like serine_threonine-protein kinase RPK2	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE RPK2 (PTHR27000:SF584)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	response to cold(GO:0009409);response to water deprivation(GO:0009414);longitudinal axis specification(GO:0009942);radial axis specification(GO:0009945);embryonic meristem development(GO:0048508)	plasma membrane(GO:0005886)
Zm00001eb291010	Cation_H(+) antiporter 15	OS05G0485000 PROTEIN (PTHR32468:SF164)	transporter(PC00227)	antiporter activity(GO:0015297)	monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);potassium ion transport(GO:0006813);regulation of pH(GO:0006885);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600)	chloroplast envelope(GO:0009941);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb291850	Peroxidase	PEROXIDASE 1 (PTHR31235:SF81)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb161610	DnaJ-like protein	J DOMAIN-CONTAINING PROTEIN (PTHR44743:SF10)				nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783)
Zm00001eb058940	Lectin-like receptor kinase 7	OS02G0299000 PROTEIN (PTHR27007:SF416)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246)	defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742);negative regulation of response to salt stress(GO:1901001)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb105400	Protein kinase domain-containing protein	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE GSO1 (PTHR27000:SF444)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
